Subject,Predicate W/ Prepositions,Object Subtree,Object,Predicate,Sentence,Parse Tree
marks,be ,the body,body,be,the MARKS could be anywhere on the body .,"[('The', 'det', 'DET', []), ('marks', 'nsubj', 'NOUN', [The]), ('could', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [marks, could, anywhere, .]), ('anywhere', 'advmod', 'ADV', [on]), ('on', 'prep', 'ADP', [body]), ('the', 'det', 'DET', []), ('body', 'pobj', 'NOUN', [the]), ('.', 'punct', 'PUNCT', [])]"
it,is like,times,times,is,"the mark is not always of the same description ; for at times IT is like the footprint of a hare , or","[('the', 'det', 'DET', []), ('mark', 'nsubj', 'NOUN', [the]), ('is', 'ccomp', 'VERB', [mark, not, always, of]), ('not', 'neg', 'ADV', []), ('always', 'advmod', 'ADV', []), ('of', 'prep', 'ADP', [description]), ('the', 'det', 'DET', []), ('same', 'amod', 'ADJ', []), ('description', 'pobj', 'NOUN', [the, same]), (';', 'punct', 'PUNCT', []), ('for', 'prep', 'ADP', []), ('at', 'prep', 'ADP', [times]), ('times', 'pobj', 'NOUN', []), ('it', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [is, ;, for, at, it, like]), ('like', 'prep', 'ADP', [footprint]), ('the', 'det', 'DET', []), ('footprint', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [hare]), ('a', 'det', 'DET', []), ('hare', 'pobj', 'NOUN', [a, ,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
that,was ,actuality,actuality,was,"in actuality , THAT was seldom the case .","[('in', 'prep', 'ADP', [actuality]), ('actuality', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('that', 'nsubj', 'DET', []), ('was', 'ROOT', 'VERB', [in, ,, that, seldom, case, .]), ('seldom', 'advmod', 'ADV', []), ('the', 'det', 'DET', []), ('case', 'attr', 'NOUN', [the]), ('.', 'punct', 'PUNCT', [])]"
some,were ,the marks,marks,were,SOME of the marks were painless and,"[('some', 'nsubj', 'DET', [of]), ('of', 'prep', 'ADP', [marks]), ('the', 'det', 'DET', []), ('marks', 'pobj', 'NOUN', [the]), ('were', 'ROOT', 'VERB', [some, painless, and]), ('painless', 'acomp', 'ADJ', []), ('and', 'cc', 'CCONJ', [])]"
Missal,is ,the unholy replacement for the Bible,replacement,is,the devil ’s missal is the unholy replacement for the bible and,"[('The', 'det', 'DET', []), ('Devil', 'poss', 'PROPN', [The, ’s]), ('’s', 'case', 'PART', []), ('Missal', 'nsubj', 'PROPN', [Devil]), ('is', 'ROOT', 'VERB', [Missal, replacement, and]), ('the', 'det', 'DET', []), ('unholy', 'amod', 'ADJ', []), ('replacement', 'attr', 'NOUN', [the, unholy, for]), ('for', 'prep', 'ADP', [Bible]), ('the', 'det', 'DET', []), ('Bible', 'pobj', 'PROPN', [the]), ('and', 'cc', 'CCONJ', [])]"
Devil,was ,celebrant,celebrant,was,the devil was celebrant .,"[('the', 'det', 'DET', []), ('Devil', 'nsubj', 'PROPN', [the]), ('was', 'ROOT', 'VERB', [Devil, celebrant, .]), ('celebrant', 'acomp', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
leaves,were ,white and,white,were,some LEAVES were white and,"[('Some', 'det', 'DET', []), ('leaves', 'nsubj', 'NOUN', [Some]), ('were', 'ROOT', 'VERB', [leaves, white]), ('white', 'acomp', 'ADJ', [and]), ('and', 'cc', 'CCONJ', [])]"
It,was ,"full of the most hideous curses against the Holy Trinity , the Holy Sacrament of the Altar , the other Sacraments and",full,was,"it was full of the most hideous curses against the holy trinity , the holy sacrament of the altar , the other sacraments and","[('It', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [It, full]), ('full', 'acomp', 'ADJ', [of]), ('of', 'prep', 'ADP', [curses]), ('the', 'det', 'DET', []), ('most', 'advmod', 'ADV', []), ('hideous', 'amod', 'ADJ', [most]), ('curses', 'pobj', 'NOUN', [the, hideous, against]), ('against', 'prep', 'ADP', [Trinity]), ('the', 'det', 'DET', []), ('Holy', 'compound', 'PROPN', []), ('Trinity', 'pobj', 'PROPN', [the, Holy, ,, Sacrament]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('Holy', 'compound', 'PROPN', []), ('Sacrament', 'appos', 'PROPN', [the, Holy, of, ,, Sacraments]), ('of', 'prep', 'ADP', [Altar]), ('the', 'det', 'DET', []), ('Altar', 'pobj', 'PROPN', [the]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('other', 'amod', 'ADJ', []), ('Sacraments', 'conj', 'PROPN', [the, other, and]), ('and', 'cc', 'CCONJ', [])]"
djinn,appears as,a wish - granting “ genie,wish,appears,a DJINN appears as a wish - granting “ genie ” in many arabic folktales such as those in the book of one thousand and,"[('A', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [A]), ('appears', 'ROOT', 'VERB', [djinn, as, ”]), ('as', 'prep', 'ADP', [wish]), ('a', 'det', 'DET', []), ('wish', 'pobj', 'NOUN', [a, -, granting]), ('-', 'punct', 'PUNCT', []), ('granting', 'acl', 'VERB', [“, genie]), ('“', 'dative', 'ADJ', []), ('genie', 'dobj', 'NOUN', []), ('”', 'punct', 'NOUN', [in]), ('in', 'prep', 'ADP', [folktales]), ('many', 'amod', 'ADJ', []), ('Arabic', 'amod', 'ADJ', []), ('folktales', 'pobj', 'NOUN', [many, Arabic, as]), ('such', 'amod', 'ADJ', []), ('as', 'prep', 'ADP', [such, those]), ('those', 'pobj', 'DET', [in]), ('in', 'prep', 'ADP', [Book]), ('The', 'det', 'DET', []), ('Book', 'pobj', 'PROPN', [The, of]), ('of', 'prep', 'ADP', [Thousand]), ('One', 'compound', 'NUM', []), ('Thousand', 'pobj', 'NUM', [One, and]), ('and', 'cc', 'CCONJ', [])]"
djinn,are ,pre - Islamic lore,lore,are,"in pre - islamic lore , the DJINN are malicious , are born of smokeless ﬁre , and","[('In', 'prep', 'ADP', [lore]), ('pre', 'punct', 'ADJ', []), ('-', 'punct', 'PUNCT', [pre]), ('Islamic', 'amod', 'ADJ', [-]), ('lore', 'pobj', 'NOUN', [Islamic]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [the]), ('are', 'ROOT', 'VERB', [In, ,, djinn, malicious, ,, born]), ('malicious', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('are', 'auxpass', 'VERB', []), ('born', 'conj', 'VERB', [are, of, ,, and]), ('of', 'prep', 'ADP', [ﬁre]), ('smokeless', 'compound', 'NOUN', []), ('ﬁre', 'pobj', 'NOUN', [smokeless]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
They,are ,invisible,invisible,are,they are usually invisible but,"[('They', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [They, usually, invisible, but]), ('usually', 'advmod', 'ADV', []), ('invisible', 'acomp', 'ADJ', []), ('but', 'cc', 'CCONJ', [])]"
it,be ,any form,form,be,"have the power to shape shift to any form , be IT insect , other animal , or","[('have', 'advcl', 'VERB', [power]), ('the', 'det', 'DET', []), ('power', 'dobj', 'NOUN', [the, shape]), ('to', 'aux', 'PART', []), ('shape', 'acl', 'VERB', [to, shift]), ('shift', 'dobj', 'NOUN', [to]), ('to', 'prep', 'ADP', [form]), ('any', 'det', 'DET', []), ('form', 'pobj', 'NOUN', [any]), (',', 'punct', 'PUNCT', []), ('be', 'ROOT', 'VERB', [have, ,, it, insect]), ('it', 'nsubj', 'PRON', []), ('insect', 'attr', 'NOUN', [,, animal]), (',', 'punct', 'PUNCT', []), ('other', 'amod', 'ADJ', []), ('animal', 'conj', 'NOUN', [other, ,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
djinn,carried on,faraway places,places,carried,"whenever solomon wanted to travel to faraway places , the DJINN carried him there on their backs .  ","[('Whenever', 'advmod', 'ADV', []), ('Solomon', 'nsubj', 'PROPN', []), ('wanted', 'advcl', 'VERB', [Whenever, Solomon, travel]), ('to', 'aux', 'PART', []), ('travel', 'xcomp', 'VERB', [to, to]), ('to', 'prep', 'ADP', [places]), ('faraway', 'amod', 'ADJ', []), ('places', 'pobj', 'NOUN', [faraway]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [the]), ('carried', 'ROOT', 'VERB', [wanted, ,, djinn, him, there, on, .]), ('him', 'dobj', 'PRON', []), ('there', 'advmod', 'ADV', []), ('on', 'prep', 'ADP', [backs]), ('their', 'poss', 'ADJ', []), ('backs', 'pobj', 'NOUN', [their]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
essence,is ,angels,angels,is,the ESSENCE of angels is light .,"[('the', 'det', 'DET', []), ('essence', 'nsubj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [angels]), ('angels', 'pobj', 'NOUN', []), ('is', 'ROOT', 'VERB', [essence, light, .]), ('light', 'acomp', 'ADJ', []), ('.', 'punct', 'PUNCT', [])]"
donkeys,are ,able to see them,able,are,DONKEYS are able to see them .,"[('donkeys', 'nsubj', 'NOUN', []), ('are', 'ROOT', 'VERB', [donkeys, able, .]), ('able', 'acomp', 'ADJ', [see]), ('to', 'aux', 'PART', []), ('see', 'xcomp', 'VERB', [to, them]), ('them', 'dobj', 'PRON', []), ('.', 'punct', 'PUNCT', [])]"
They,were on before,the Earth,Earth,were,"they were on the earth before human beings , but","[('They', 'nsubj', 'PRON', []), ('were', 'ROOT', 'VERB', [They, on, before, ,, but]), ('on', 'prep', 'ADP', [Earth]), ('the', 'det', 'DET', []), ('Earth', 'pobj', 'PROPN', [the]), ('before', 'prep', 'ADP', [beings]), ('human', 'amod', 'ADJ', []), ('beings', 'pobj', 'NOUN', [human]), (',', 'punct', 'PUNCT', []), ('but', 'cc', 'CCONJ', [])]"
it,is ,unknown,unknown,is,IT is unknown how long .,"[('it', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [it, unknown, long, .]), ('unknown', 'acomp', 'ADJ', []), ('how', 'advmod', 'ADV', []), ('long', 'advmod', 'ADV', [how]), ('.', 'punct', 'PUNCT', [])]"
throne,is in,the sea,sea,is,iblis’ THRONE is in the sea .  ,"[('Iblis’', 'compound', 'NOUN', []), ('throne', 'nsubj', 'NOUN', [Iblis’]), ('is', 'ROOT', 'VERB', [throne, in, .]), ('in', 'prep', 'ADP', [sea]), ('the', 'det', 'DET', []), ('sea', 'pobj', 'NOUN', [the]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
They,are ,responsible for their actions,responsible,are,they are responsible for their actions and,"[('They', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [They, responsible, and]), ('responsible', 'acomp', 'ADJ', [for]), ('for', 'prep', 'ADP', [actions]), ('their', 'poss', 'ADJ', []), ('actions', 'pobj', 'NOUN', [their]), ('and', 'cc', 'CCONJ', [])]"
djinn,be ,heavy or,heavy,be,these DJINN can be heavy or,"[('These', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [These]), ('can', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [djinn, can, heavy]), ('heavy', 'acomp', 'ADJ', [or]), ('or', 'cc', 'CCONJ', [])]"
djinn,are ,unreliable and,unreliable,are,"however , all DJINN are unreliable and","[('However', 'advmod', 'ADV', []), (',', 'punct', 'PUNCT', []), ('all', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [all]), ('are', 'ROOT', 'VERB', [However, ,, djinn, unreliable]), ('unreliable', 'acomp', 'ADJ', [and]), ('and', 'cc', 'CCONJ', [])]"
it,is ,Egypt,Egypt,is,"the djinn will guard graves if commanded to do so by wITchcraft ; in egypt , IT is bad luck to open a pharaoh ’s tomb , for the guarding djinn will harm anyone who violates the sacred space .","[('The', 'det', 'DET', []), ('djinn', 'nsubj', 'NOUN', [The]), ('will', 'aux', 'VERB', []), ('guard', 'ccomp', 'VERB', [djinn, will, graves, commanded]), ('graves', 'dobj', 'NOUN', []), ('if', 'mark', 'ADP', []), ('commanded', 'advcl', 'VERB', [if, do]), ('to', 'aux', 'PART', []), ('do', 'xcomp', 'VERB', [to, so, by]), ('so', 'advmod', 'ADV', []), ('by', 'prep', 'ADP', [WITCHCRAFT]), ('WITCHCRAFT', 'pobj', 'PROPN', []), (';', 'punct', 'PUNCT', []), ('in', 'prep', 'ADP', [Egypt]), ('Egypt', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('it', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [guard, ;, in, ,, it, luck, harm, .]), ('bad', 'amod', 'ADJ', []), ('luck', 'attr', 'NOUN', [bad, open]), ('to', 'aux', 'PART', []), ('open', 'acl', 'VERB', [to, tomb, ,]), ('a', 'det', 'DET', []), ('pharaoh', 'poss', 'NOUN', [a, ’s]), ('’s', 'case', 'PART', []), ('tomb', 'dobj', 'NOUN', [pharaoh]), (',', 'punct', 'PUNCT', []), ('for', 'mark', 'ADP', []), ('the', 'det', 'DET', []), ('guarding', 'amod', 'VERB', []), ('djinn', 'nsubj', 'NOUN', [the, guarding]), ('will', 'aux', 'VERB', []), ('harm', 'advcl', 'VERB', [for, djinn, will, anyone]), ('anyone', 'dobj', 'NOUN', [violates]), ('who', 'nsubj', 'NOUN', []), ('violates', 'relcl', 'VERB', [who, space]), ('the', 'det', 'DET', []), ('sacred', 'amod', 'ADJ', []), ('space', 'dobj', 'NOUN', [the, sacred]), ('.', 'punct', 'PUNCT', [])]"
span,is ,djinn,djinn,is,"the life SPAN of djinn is much longer than that of humans , but","[('The', 'det', 'DET', []), ('life', 'compound', 'NOUN', []), ('span', 'nsubj', 'NOUN', [The, life, of]), ('of', 'prep', 'ADP', [djinn]), ('djinn', 'pobj', 'NOUN', []), ('is', 'ROOT', 'VERB', [span, longer, ,, but]), ('much', 'advmod', 'ADV', []), ('longer', 'acomp', 'ADJ', [much, than]), ('than', 'prep', 'ADP', [that]), ('that', 'pobj', 'DET', [of]), ('of', 'prep', 'ADP', [humans]), ('humans', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('but', 'cc', 'CCONJ', [])]"
They,are ,both male and,male,are,they are both male and,"[('They', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [They, male]), ('both', 'preconj', 'DET', []), ('male', 'attr', 'ADJ', [both, and]), ('and', 'cc', 'CCONJ', [])]"
they,are ,able to affect peoples’ minds and,able,are,though THEY are able to affect peoples’ minds and,"[('though', 'mark', 'ADP', []), ('they', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [though, they, able]), ('able', 'acomp', 'ADJ', [affect]), ('to', 'aux', 'PART', []), ('affect', 'xcomp', 'VERB', [to, minds]), ('peoples’', 'compound', 'NOUN', []), ('minds', 'dobj', 'NOUN', [peoples’, and]), ('and', 'cc', 'CCONJ', [])]"
They,be ,exceptionally tall,tall,be,they may be exceptionally tall and,"[('They', 'nsubj', 'PRON', []), ('may', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [They, may, tall, and]), ('exceptionally', 'advmod', 'ADV', []), ('tall', 'acomp', 'ADJ', [exceptionally]), ('and', 'cc', 'CCONJ', [])]"
Djinn,appear to as,humans,humans,appear,djinn can appear to humans as the spirits of the dead and,"[('Djinn', 'nsubj', 'PROPN', []), ('can', 'aux', 'VERB', []), ('appear', 'ROOT', 'VERB', [Djinn, can, to, as, and]), ('to', 'prep', 'ADP', [humans]), ('humans', 'pobj', 'NOUN', []), ('as', 'prep', 'ADP', [spirits]), ('the', 'det', 'DET', []), ('spirits', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [dead]), ('the', 'det', 'DET', []), ('dead', 'pobj', 'ADJ', [the]), ('and', 'cc', 'CCONJ', [])]"
It,was ,the djinn who taught humans SORCERY,djinn,was,it was the djinn who taught humans sorcery .,"[('It', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [It, djinn, .]), ('the', 'det', 'DET', []), ('djinn', 'attr', 'NOUN', [the, taught]), ('who', 'nsubj', 'NOUN', []), ('taught', 'relcl', 'VERB', [who, humans, SORCERY]), ('humans', 'dobj', 'NOUN', []), ('SORCERY', 'dobj', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
it,is ,controversy over whether it is lawful to marry djinn,controversy,is,"there is controversy over whether IT is lawful to marry djinn , but","[('There', 'expl', 'ADV', []), ('is', 'ROOT', 'VERB', [There, controversy, ,, but]), ('controversy', 'attr', 'NOUN', [over]), ('over', 'prep', 'ADP', [is]), ('whether', 'mark', 'ADP', []), ('it', 'nsubj', 'PRON', []), ('is', 'pcomp', 'VERB', [whether, it, lawful, marry]), ('lawful', 'acomp', 'ADJ', []), ('to', 'aux', 'PART', []), ('marry', 'xcomp', 'VERB', [to, djinn]), ('djinn', 'dobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('but', 'cc', 'CCONJ', [])]"
children,be ,human,human,be,"if the mother is human , the CHILDREN will be visible and","[('If', 'mark', 'ADP', []), ('the', 'det', 'DET', []), ('mother', 'nsubj', 'NOUN', [the]), ('is', 'advcl', 'VERB', [If, mother, human]), ('human', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('children', 'nsubj', 'NOUN', [the]), ('will', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [is, ,, children, will, visible, and]), ('visible', 'acomp', 'ADJ', []), ('and', 'cc', 'CCONJ', [])]"
children,be ,djinn,djinn,be,"if the mother is djinn , the CHILDREN will be invisible .  ","[('If', 'mark', 'ADP', []), ('the', 'det', 'DET', []), ('mother', 'nsubj', 'NOUN', [the]), ('is', 'advcl', 'VERB', [If, mother, djinn]), ('djinn', 'attr', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('children', 'nsubj', 'NOUN', [the]), ('will', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [is, ,, children, will, invisible, .]), ('invisible', 'acomp', 'ADJ', []), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
who,are ,possession,possession,are,"others WHO are vulnerable to possession are those WHO live alone , for djinn are opposed to community .  ","[('Others', 'nsubj', 'NOUN', [are]), ('who', 'nsubj', 'NOUN', []), ('are', 'relcl', 'VERB', [who, vulnerable]), ('vulnerable', 'acomp', 'ADJ', [to]), ('to', 'prep', 'ADP', [possession]), ('possession', 'pobj', 'NOUN', []), ('are', 'ROOT', 'VERB', [Others, those, ,, opposed, .]), ('those', 'attr', 'DET', [live]), ('who', 'nsubj', 'NOUN', []), ('live', 'relcl', 'VERB', [who, alone]), ('alone', 'advmod', 'ADV', []), (',', 'punct', 'PUNCT', []), ('for', 'mark', 'ADP', []), ('djinn', 'nsubjpass', 'NOUN', []), ('are', 'auxpass', 'VERB', []), ('opposed', 'advcl', 'VERB', [for, djinn, are, to]), ('to', 'prep', 'ADP', [community]), ('community', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
person,appears ,insane,insane,appears,"when possessed , the PERSON appears to be insane and","[('When', 'advmod', 'ADV', []), ('possessed', 'advcl', 'VERB', [When]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('person', 'nsubj', 'NOUN', [the]), ('appears', 'ROOT', 'VERB', [possessed, ,, person, be, and]), ('to', 'aux', 'PART', []), ('be', 'xcomp', 'VERB', [to, insane]), ('insane', 'acomp', 'ADJ', []), ('and', 'cc', 'CCONJ', [])]"
Experiences,are ,Djinn Djinn,Djinn,are,"modern experiences of djinn djinn are still prominent in modern superstitions , and","[('Modern', 'amod', 'PROPN', []), ('Experiences', 'nsubj', 'PROPN', [Modern, of]), ('of', 'prep', 'ADP', [Djinn]), ('Djinn', 'compound', 'PROPN', []), ('Djinn', 'pobj', 'PROPN', [Djinn]), ('are', 'ROOT', 'VERB', [Experiences, still, prominent, ,, and]), ('still', 'advmod', 'ADV', []), ('prominent', 'acomp', 'ADJ', [in]), ('in', 'prep', 'ADP', [superstitions]), ('modern', 'amod', 'ADJ', []), ('superstitions', 'pobj', 'NOUN', [modern]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
They,are ,visible in great numbers to those who can see them,visible,are,they are visible in great numbers to those who can see them .,"[('They', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [They, visible, .]), ('visible', 'acomp', 'ADJ', [in, to]), ('in', 'prep', 'ADP', [numbers]), ('great', 'amod', 'ADJ', []), ('numbers', 'pobj', 'NOUN', [great]), ('to', 'prep', 'ADP', [those]), ('those', 'pobj', 'DET', [see]), ('who', 'nsubj', 'NOUN', []), ('can', 'aux', 'VERB', []), ('see', 'relcl', 'VERB', [who, can, them]), ('them', 'dobj', 'PRON', []), ('.', 'punct', 'PUNCT', [])]"
beliefs,are ,djinn,djinn,are,"in the middle east , BELIEFS about djinn are strong in certain areas .","[('In', 'prep', 'ADP', [East]), ('the', 'det', 'DET', []), ('Middle', 'compound', 'PROPN', []), ('East', 'pobj', 'PROPN', [the, Middle]), (',', 'punct', 'PUNCT', []), ('beliefs', 'nsubj', 'NOUN', [about]), ('about', 'prep', 'ADP', [djinn]), ('djinn', 'pobj', 'NOUN', []), ('are', 'ROOT', 'VERB', [In, ,, beliefs, strong, .]), ('strong', 'acomp', 'ADJ', [in]), ('in', 'prep', 'ADP', [areas]), ('certain', 'amod', 'ADJ', []), ('areas', 'pobj', 'NOUN', [certain]), ('.', 'punct', 'PUNCT', [])]"
He,was among,"American troops camped with Jordanian troops for training exercises in Jordan at Baten el Ghoul , which means “ Belly of the Beast",troops,was,"he was among american troops camped with jordanian troops for training exercises in jordan at baten el ghoul , which means “ belly of the beast . ”  ","[('He', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [He, among, ., ”]), ('among', 'prep', 'ADP', [troops]), ('American', 'amod', 'ADJ', []), ('troops', 'pobj', 'NOUN', [American, camped]), ('camped', 'acl', 'VERB', [with, for]), ('with', 'prep', 'ADP', [troops]), ('Jordanian', 'amod', 'ADJ', []), ('troops', 'pobj', 'NOUN', [Jordanian]), ('for', 'prep', 'ADP', [exercises]), ('training', 'compound', 'NOUN', []), ('exercises', 'pobj', 'NOUN', [training, in, at]), ('in', 'prep', 'ADP', [Jordan]), ('Jordan', 'pobj', 'PROPN', []), ('at', 'prep', 'ADP', [Ghoul]), ('Baten', 'compound', 'PROPN', []), ('el', 'compound', 'PROPN', []), ('Ghoul', 'pobj', 'PROPN', [Baten, el, ,, means]), (',', 'punct', 'PUNCT', []), ('which', 'nsubj', 'ADJ', []), ('means', 'relcl', 'VERB', [which, Belly]), ('“', 'compound', 'ADJ', []), ('Belly', 'dobj', 'PROPN', [“, of]), ('of', 'prep', 'ADP', [Beast]), ('the', 'det', 'DET', []), ('Beast', 'pobj', 'PROPN', [the]), ('.', 'punct', 'PUNCT', []), ('”', 'punct', 'NOUN', [ ]), (' ', '', 'SPACE', [])]"
It,was ,unusual,unusual,was,it was not unusual to have one ’s sleep interrupted by the screams and,"[('It', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [It, not, unusual, have]), ('not', 'neg', 'ADV', []), ('unusual', 'acomp', 'ADJ', []), ('to', 'aux', 'PART', []), ('have', 'xcomp', 'VERB', [to, sleep]), ('one', 'poss', 'NUM', [’s]), ('’s', 'case', 'PART', []), ('sleep', 'dobj', 'NOUN', [one, interrupted]), ('interrupted', 'acl', 'VERB', [by]), ('by', 'agent', 'ADP', [screams]), ('the', 'det', 'DET', []), ('screams', 'pobj', 'NOUN', [the, and]), ('and', 'cc', 'CCONJ', [])]"
It,was like,the light of an eclipsed sun,light,was,it was like the light of an eclipsed sun and,"[('It', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [It, like, and]), ('like', 'prep', 'ADP', [light]), ('the', 'det', 'DET', []), ('light', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [sun]), ('an', 'det', 'DET', []), ('eclipsed', 'amod', 'ADJ', []), ('sun', 'pobj', 'NOUN', [an, eclipsed]), ('and', 'cc', 'CCONJ', [])]"
Minnehaha,is ,such a spirit,spirit,is,"skeptical of such a spirit , since minnehaha is the heroine of henry wadsworth longfellow ’s poem “ hiawatha .","[('skeptical', 'advcl', 'ADJ', [of]), ('of', 'prep', 'ADP', [spirit]), ('such', 'predet', 'ADJ', []), ('a', 'det', 'DET', []), ('spirit', 'pobj', 'NOUN', [such, a]), (',', 'punct', 'PUNCT', []), ('since', 'mark', 'ADP', []), ('Minnehaha', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [skeptical, ,, since, Minnehaha, heroine, .]), ('the', 'det', 'DET', []), ('heroine', 'attr', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [poem]), ('Henry', 'compound', 'PROPN', []), ('Wadsworth', 'compound', 'PROPN', []), ('Longfellow', 'poss', 'PROPN', [Henry, Wadsworth, ’s]), ('’s', 'case', 'PART', []), ('poem', 'pobj', 'NOUN', [Longfellow, “, Hiawatha]), ('“', 'appos', 'ADJ', []), ('Hiawatha', 'appos', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
Prince,was ,familiar with the newly recognized syndrome of multiple personality,familiar,was,"prince was familiar with the newly recognized syndrome of multiple personality , and","[('Prince', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Prince, familiar, ,, and]), ('familiar', 'acomp', 'ADJ', [with]), ('with', 'prep', 'ADP', [syndrome]), ('the', 'det', 'DET', []), ('newly', 'advmod', 'ADV', []), ('recognized', 'amod', 'VERB', [newly]), ('syndrome', 'pobj', 'NOUN', [the, recognized, of]), ('of', 'prep', 'ADP', [personality]), ('multiple', 'amod', 'ADJ', []), ('personality', 'pobj', 'NOUN', [multiple]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Hyslop,was ,1915,1915,was,"by 1915 , hyslop was convinced that fischer was possessed , and","[('By', 'prep', 'ADP', [1915]), ('1915', 'pobj', 'NUM', []), (',', 'punct', 'PUNCT', []), ('Hyslop', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [By, ,, Hyslop, convinced, ,, and]), ('convinced', 'acomp', 'VERB', [possessed]), ('that', 'mark', 'ADP', []), ('Fischer', 'nsubjpass', 'PROPN', []), ('was', 'auxpass', 'VERB', []), ('possessed', 'ccomp', 'VERB', [that, Fischer, was]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
spirits,were ,ineffectual,ineffectual,were,"whatever other SPIRITS remained were ineffectual , and","[('Whatever', 'dep', 'ADJ', []), ('other', 'amod', 'ADJ', []), ('spirits', 'nsubj', 'NOUN', [other]), ('remained', 'csubj', 'VERB', [Whatever, spirits]), ('were', 'ROOT', 'VERB', [remained, ineffectual, ,, and]), ('ineffectual', 'acomp', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
