subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
only | advmod | ADV | []
about | quantmod | ADV | []
2 | nummod | NUM | [only, about]
kilometers | npadvmod | NOUN | [2]
across | advmod | ADP | [kilometers]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Apollo,kilometers,is
B.C. (he),the author   of   a   work   on   mythology   and   one   on etymology ;   best   known   for   his   Chronicle of Greek history from the time of the fall of Troy, was ,"an athenian scholar ( fl . c. 140 b.c. )===, he was the author   of   a   work   on   mythology   and   one   on etymology ;   best   known   for   his   chronicle of greek history from the time of the fall of troy .  ===apollonius of rhodes or apollonius   rhodius   greek   greek poet ( c. 220–180 b.c. ) born in alexandria ; longtime resident of rhodes",", | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [,, he, author, .]
the | det | DET | []
author | attr | NOUN | [the,  , of, ;, known]
  |  | SPACE | []
of | prep | ADP | [ , work]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
work | pobj | NOUN | [a,  , on]
  |  | SPACE | []
on | prep | ADP | [ , mythology]
  |  | SPACE | []
mythology | pobj | NOUN | [ , and, one]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
one | conj | NUM | [ , on]
  |  | SPACE | []
on | prep | ADP | [etymology]
etymology | pobj | NOUN | []
; | punct | PUNCT | [ ]
  |  | SPACE | []
best | advmod | ADJ | [ ]
  |  | SPACE | []
known | appos | VERB | [best,  , for, from]
  |  | SPACE | []
for | prep | ADP | [ , Chronicle]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
Chronicle | pobj | PROPN | [his, of]
of | prep | ADP | [history]
Greek | amod | ADJ | []
history | pobj | NOUN | [Greek]
from | prep | ADP | [time]
the | det | DET | []
time | pobj | NOUN | [the, of]
of | prep | ADP | [fall]
the | det | DET | []
fall | pobj | NOUN | [the, of]
of | prep | ADP | [Troy]
Troy | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,author,was
Pan  ,an Arcadian   deity, was ,"the   region   also   featured   prominently   in greek   mythology .  ===pan   was   originally ,   and chiefly   remained ,   an arcadian   deity .  ===hermes was   said   to   have   been   born   in   a   cavern   on mount   cyllene   in   arcadia ,   and   it   was   there that his worship flourished , often to be found in the company of pan and the muses .  ","Pan | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Pan,  , originally, ,, and, remained, .]
  |  | SPACE | []
originally | advmod | ADV | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
and | cc | CCONJ | []
chiefly | advmod | ADV | [ ]
  |  | SPACE | []
remained | conj | VERB | [chiefly, ,, deity]
, | punct | PUNCT | [ ]
  |  | SPACE | []
an | det | DET | []
Arcadian | amod | PROPN | [ ]
  |  | SPACE | []
deity | attr | NOUN | [an, Arcadian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Pan,deity,was
Greek (he),Thracian   origin, was ,"ares greek   one of the 12 great olympian deities ; the god of war .===identified with the planet mars by the romans ,   he   was   originally   a   divinity   of thracian   origin .  ===from   there   his   worship spread through macedonia to thebes , athens , and the cities of the peloponnesos , especially sparta .","Identified | advcl | VERB | [with, by, ,]
with | prep | ADP | [Mars]
the | det | DET | []
planet | compound | NOUN | []
Mars | pobj | PROPN | [the, planet]
by | agent | ADP | [Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
, | punct | PUNCT | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Identified, he,  , divinity, .]
  |  | SPACE | []
originally | advmod | ADV | [ ]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
divinity | dep | NOUN | [originally, a,  , of]
  |  | SPACE | []
of | prep | ADP | [origin]
Thracian | amod | ADJ | [ ]
  |  | SPACE | []
origin | pobj | NOUN | [Thracian]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,origin,was
Hera (he),also   handsome, was ,"he was the son of zeus and hera and broth- er   of   hebe   and   hephaistos ,   although hephaistos   is   sometimes   regarded   as   the parthenogenous son of hera .===he was hated by the   other   gods ,   with   the   exception   of   eris , hades , and aphrodite , as he delighted in bat- tle   simply   for   the   sake   of   it ;   vindictive   and short - tempered ,   he   was   also   handsome .  ===his love affair with aphrodite is particularly well known , as is the hilarious instance when the two lovers were trapped together in bed under a   net   that  ","He | nsubjpass | PRON | []
was | auxpass | VERB | []
hated | ccomp | VERB | [He, was, by, delighted, ,]
by | agent | ADP | [gods]
the | det | DET | [ ]
  |  | SPACE | []
other | amod | ADJ | [ ]
  |  | SPACE | []
gods | pobj | NOUN | [the, other, ,, with]
, | punct | PUNCT | [ ]
  |  | SPACE | []
with | prep | ADP | [ , exception]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
exception | pobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , Eris]
  |  | SPACE | []
Eris | pobj | PROPN | [,, Hades, ,]
, | punct | PUNCT | []
Hades | appos | PROPN | [,, and, Aphrodite]
, | punct | PUNCT | []
and | cc | CCONJ | []
Aphrodite | conj | PROPN | []
, | punct | PUNCT | []
as | mark | ADP | []
he | nsubj | PRON | []
delighted | advcl | VERB | [as, he, in, vindictive]
in | prep | ADP | [tle]
bat- | amod | NOUN | []
tle | pobj | NOUN | [bat-,  , for]
  |  | SPACE | []
simply | advmod | ADV | [ ]
  |  | SPACE | []
for | prep | ADP | [simply,  , sake]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
sake | pobj | NOUN | [the,  , of, ;]
  |  | SPACE | []
of | prep | ADP | [ , it]
  |  | SPACE | []
it | pobj | PRON | []
; | punct | PUNCT | [ ]
  |  | SPACE | []
vindictive | advcl | ADJ | [ , and, tempered]
  |  | SPACE | []
and | cc | CCONJ | []
short | amod | ADV | []
- | punct | PUNCT | []
tempered | conj | ADJ | [short, -]
, | punct | PUNCT | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [hated, he,  , handsome, .]
  |  | SPACE | []
also | advmod | ADV | [ ]
  |  | SPACE | []
handsome | acomp | ADJ | [also]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,handsome,was
His love affair with Aphrodite,particularly well known, is ,"he was hated by the   other   gods ,   with   the   exception   of   eris , hades , and aphrodite , as he delighted in bat- tle   simply   for   the   sake   of   it ;   vindictive   and short - tempered ,   he   was   also   handsome .  ===his love affair with aphrodite is particularly well known , as is the hilarious instance when the two lovers were trapped together in bed under a   net   that  ===hephaistos ,   aphrodite ’s   husband and   his   brother ,   had   engineered .  ","His | poss | ADJ | []
love | compound | NOUN | []
affair | nsubj | NOUN | [His, love, with]
with | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
is | ROOT | VERB | [affair, known, ,, is, that]
particularly | advmod | ADV | []
well | advmod | ADV | []
known | acomp | VERB | [particularly, well]
, | punct | PUNCT | []
as | mark | ADP | []
is | advcl | VERB | [as, instance, trapped]
the | det | DET | []
hilarious | amod | ADJ | []
instance | nsubj | NOUN | [the, hilarious]
when | advmod | ADV | []
the | det | DET | []
two | nummod | NUM | []
lovers | nsubjpass | NOUN | [the, two]
were | auxpass | VERB | []
trapped | advcl | VERB | [when, lovers, were, together, in, under]
together | advmod | ADV | []
in | prep | ADP | [bed]
bed | pobj | NOUN | []
under | prep | ADP | [net]
a | det | DET | [ ]
  |  | SPACE | []
net | pobj | NOUN | [a,  ]
  |  | SPACE | []
that | punct | ADJ | [ ]
  |  | SPACE | []",affair,known,is
Egypt (he),successful   in   battle, was not,"when ge sent typhon against olympus in revenge for the gods’ destruction of the giants , he fled to egypt in the guise of a boar with the other gods , who assumed other animal forms .===though the god of war he was not always successful   in   battle .  ===the aloeidae   conquered him and left him imprisoned in a brazen ves- sel for 13 months until released by hermes .","Though | mark | ADP | []
the | det | DET | []
god | nsubj | NOUN | [the, of]
of | prep | ADP | [war]
war | pobj | NOUN | []
he | nsubj | PRON | []
was | ROOT | VERB | [Though, god, he, not, always, successful, .]
not | neg | ADV | []
always | advmod | ADV | []
successful | acomp | ADJ | [ , in]
  |  | SPACE | []
in | prep | ADP | [ , battle]
  |  | SPACE | []
battle | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,successful,was
all   probability   Ariadne  ,“, appearing ,"ariadne   greek  ===in   all   probability   ariadne   was   originally   a cretan goddess , her name appearing to mean “ all - holy . ”===later she was adopted into greek mythology , where she appears as the daughter of   minos ,   king   of   crete ,   and   pasiphaë ,   thus being   the   sister   of   glaucus ,   androgeos ,   and phaedra .  ","In | prep | ADP | [ ]
  |  | SPACE | []
all | det | DET | [ ]
  |  | SPACE | []
probability | nsubj | NOUN | [all,  , Ariadne]
  |  | SPACE | []
Ariadne | appos | PROPN | [ ]
  |  | SPACE | []
was | ccomp | VERB | [probability,  , goddess]
  |  | SPACE | []
originally | advmod | ADV | [ ]
  |  | SPACE | []
a | det | DET | []
Cretan | amod | PROPN | []
goddess | attr | NOUN | [originally, a, Cretan]
, | punct | PUNCT | []
her | poss | ADJ | []
name | nsubj | NOUN | [her]
appearing | ROOT | VERB | [In, was, ,, name, mean, ., ”]
to | aux | PART | []
mean | xcomp | VERB | [to, “, holy]
“ | dobj | ADV | []
all | advmod | ADV | []
- | punct | PUNCT | []
holy | ccomp | ADJ | [all, -]
. | punct | PUNCT | []
” | punct | PUNCT | []",probability,“,appearing
Ariadne (he),able, was ,"she gave him a skein of thread and a sword .===by unwinding the thread behind   him   as   he   searched   for   the   minotaur    46 aricia   within its labyrinth , he was able , after having killed   the   monster ,   to   escape   its   confines .===together   theseus   and   ariadne   fled   to   the island of dia ( naxos ) , where they were mar- ried   but   where   theseus   later   abandoned   her when   he   returned   to   athens ,   later   marrying her sister , phaedra , there .  ","By | prep | ADP | [unwinding]
unwinding | pcomp | VERB | [thread, behind, him, as]
the | det | DET | []
thread | dobj | NOUN | [the]
behind | prep | ADP | [ ]
  |  | SPACE | []
him | dobj | PRON | [ ]
  |  | SPACE | []
as | prep | ADP | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
searched | advcl | VERB | [By, he,  , for, within]
  |  | SPACE | []
for | prep | ADP | [ , Aricia]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Minotaur | nmod | PROPN | [  , 46]
   |  | SPACE | []
46 | nummod | NUM | []
Aricia | pobj | PROPN | [the, Minotaur,  ]
  |  | SPACE | []
within | prep | ADP | [labyrinth]
its | poss | ADJ | []
labyrinth | pobj | NOUN | [its]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [searched, ,, he, able, ,, after, ,, .]
able | acomp | ADJ | []
, | punct | PUNCT | []
after | prep | ADP | [killed]
having | aux | VERB | []
killed | pcomp | VERB | [having,  , monster]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
monster | dobj | NOUN | [the]
, | punct | PUNCT | [ , to]
  |  | SPACE | []
to | prep | ADP | [ , escape]
  |  | SPACE | []
escape | pobj | NOUN | [ , confines]
  |  | SPACE | []
its | poss | ADJ | [ ]
  |  | SPACE | []
confines | appos | NOUN | [its]
. | punct | PUNCT | []",he,able,was
"Described   in   the   lost   poem   Arimaspea by Aristaeus   of   Proconnesos ,   the   Arimaspi ( Anglicized as Arimaspians )",a one - eyed race living on the Scythian steppes, were ,"arimaspi   greek  ===described   in   the   lost   poem   arimaspea by aristaeus   of   proconnesos ,   the   arimaspi ( anglicized as arimaspians ) were a one - eyed race living on the scythian steppes , neighbors to the hyperboreans .===they constantly fought a group   of   griffins   for   the   horde   of   gold   they guarded .  ","Described | nsubj | VERB | [ , in, poem]
  |  | SPACE | []
in | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
lost | amod | VERB | [ ]
  |  | SPACE | []
poem | appos | NOUN | [the, lost,  , Arimaspea]
  |  | SPACE | []
Arimaspea | appos | PROPN | [by, of]
by | prep | ADP | [Aristaeus]
Aristaeus | pobj | PROPN | [ ]
  |  | SPACE | []
of | prep | ADP | [ , Proconnesos]
  |  | SPACE | []
Proconnesos | pobj | PROPN | [,, Arimaspi]
, | punct | PUNCT | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Arimaspi | appos | PROPN | [the, (, Anglicized, )]
( | punct | PUNCT | []
Anglicized | appos | VERB | [as]
as | prep | ADP | [Arimaspians]
Arimaspians | pobj | PROPN | []
) | punct | PUNCT | []
were | ROOT | VERB | [Described, race, ,, neighbors, .]
a | det | DET | []
one | nummod | NUM | []
- | punct | PUNCT | []
eyed | amod | ADJ | [one, -]
race | attr | NOUN | [a, eyed, living]
living | acl | VERB | [on]
on | prep | ADP | [steppes]
the | det | DET | []
Scythian | amod | ADJ | []
steppes | pobj | NOUN | [the, Scythian]
, | punct | PUNCT | []
neighbors | appos | NOUN | [to]
to | prep | ADP | [Hyperboreans]
the | det | DET | []
Hyperboreans | pobj | PROPN | [the]
. | punct | PUNCT | []",Described,race,were
Orpheus (she),a fatal snake bite, received ,"he traveled to thrace , where he fell in love with   and   pursued   eurydice ,   the   wife   of orpheus .  ===in   her   flight   from   his   lust   she received a fatal snake bite and died .===as pun- ishment the nymphs destroyed his bees , and how he raised a new swarm is told in virgil ’s fourth   georgics .","In | prep | ADP | [ , flight]
  |  | SPACE | []
her | poss | ADJ | [ ]
  |  | SPACE | []
flight | pobj | NOUN | [her,  , from, lust]
  |  | SPACE | []
from | prep | ADP | [ ]
  |  | SPACE | []
his | poss | ADJ | [ ]
  |  | SPACE | []
lust | appos | NOUN | [his,  ]
  |  | SPACE | []
she | nsubj | PRON | []
received | ROOT | VERB | [In, she, bite, and, died, .]
a | det | DET | []
fatal | amod | ADJ | []
snake | compound | NOUN | []
bite | dobj | NOUN | [a, fatal, snake]
and | cc | CCONJ | []
died | conj | VERB | []
. | punct | PUNCT | []",she,bite,received
Hyperboreans (he),characteristic   of   Central Asia, be ,"legend held that he was sometimes to be seen in more than one place at a time , which sug-===gests that he may have been a practitioner of the   kind   of   shamanistic   out - of - body   experi- ences   known   to   be   characteristic   of   central asia .  ===his   name   was   still   known   as   that   of   a magician in thirteenth - century byzantium .  ","gests | nsubj | NOUN | [been]
that | mark | ADJ | []
he | nsubj | PRON | []
may | aux | VERB | []
have | aux | VERB | []
been | relcl | VERB | [that, he, may, have, practitioner]
a | det | DET | []
practitioner | attr | NOUN | [a, of]
of | prep | ADP | [kind]
the | det | DET | [ ]
  |  | SPACE | []
kind | pobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , ences]
  |  | SPACE | []
shamanistic | amod | ADJ | [ ]
  |  | SPACE | []
out | nmod | ADV | [-, of]
- | punct | PUNCT | []
of | prep | ADP | [-, body]
- | punct | PUNCT | []
body | pobj | NOUN | [ ]
  |  | SPACE | []
experi- | compound | ADJ | []
ences | pobj | NOUN | [shamanistic, out, experi-,  , known]
  |  | SPACE | []
known | acl | VERB | [ , to]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
be | ROOT | NOUN | [gests,  , characteristic, .]
  |  | SPACE | []
characteristic | acomp | ADJ | [ , of]
  |  | SPACE | []
of | prep | ADP | [ , Asia]
  |  | SPACE | []
Central | compound | PROPN | []
Asia | pobj | PROPN | [Central]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,characteristic,be
Artemis,a far more frightening creature, is ,"48 artemis  ===in reality artemis is a far more frightening creature .===she is just one of many forms of the primitive   mother   goddess ,   having   special concern for the lives of women , both before and after marriage .","In | prep | ADP | [reality]
reality | pobj | NOUN | []
Artemis | nsubj | PROPN | []
is | ROOT | VERB | [In, Artemis, creature, .]
a | det | DET | []
far | advmod | ADV | []
more | advmod | ADV | [far]
frightening | amod | ADJ | [more]
creature | attr | NOUN | [a, frightening]
. | punct | PUNCT | []",Artemis,creature,is
This   Brauronian Artemis,Athens,was worshipped in,"in this cult iphigeneia was once her priestess , and it was from tauris that she and her brother , orestes , were said to have taken her   image   to   brauron ,   whence   the   goddess was   known   as   brauronia .  ===this   brauronian artemis was worshipped in athens , as well as in sparta , under the name of orthia , where she was   worshipped   in   rituals   that   included   the violent   flogging   of   youths   at   her   altar   until they   sprinkled   it   with   their   blood .  ===during roman   times   these   youths   sometimes   died from the floggings .","This | det | DET | [ ]
  |  | SPACE | []
Brauronian | compound | PROPN | []
Artemis | nsubjpass | PROPN | [This, Brauronian]
was | auxpass | VERB | []
worshipped | ROOT | VERB | [Artemis, was, in, ,, as, ,, under, worshipped]
in | prep | ADP | [Athens]
Athens | pobj | PROPN | []
, | punct | PUNCT | []
as | advmod | ADV | []
well | advmod | ADV | []
as | cc | ADP | [as, well, in]
in | prep | ADP | [Sparta]
Sparta | pobj | PROPN | []
, | punct | PUNCT | []
under | prep | ADP | [name]
the | det | DET | []
name | pobj | NOUN | [the, of]
of | prep | ADP | [Orthia]
Orthia | pobj | PROPN | [,]
, | punct | PUNCT | []
where | advmod | ADV | []
she | nsubj | PRON | []
was | auxpass | VERB | [where, she,  ]
  |  | SPACE | []
worshipped | conj | VERB | [was,  , in, .]
  |  | SPACE | []
in | prep | ADP | [ , rituals]
  |  | SPACE | []
rituals | pobj | NOUN | [ , included]
  |  | SPACE | []
that | mark | ADJ | [ ]
  |  | SPACE | []
included | acl | VERB | [that,  , flogging]
  |  | SPACE | []
the | det | DET | []
violent | amod | ADJ | [ ]
  |  | SPACE | []
flogging | dobj | NOUN | [the, violent,  , of, at, altar, sprinkled]
  |  | SPACE | []
of | prep | ADP | [ , youths]
  |  | SPACE | []
youths | pobj | NOUN | [ ]
  |  | SPACE | []
at | prep | ADP | [ ]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
altar | appos | NOUN | [her,  ]
  |  | SPACE | []
until | mark | ADP | []
they | nsubj | PRON | [ ]
  |  | SPACE | []
sprinkled | advcl | VERB | [until, they,  , it, with, blood]
  |  | SPACE | []
it | dobj | PRON | [ ]
  |  | SPACE | []
with | prep | ADP | [ ]
  |  | SPACE | []
their | poss | ADJ | [ ]
  |  | SPACE | []
blood | dobj | NOUN | [their]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,Athens,worshipped
Apollo (she),Arcadia  ,was worshipped ,"it   was   at   this   ionian   shrine that she was most closely associated with her mythological   twin   brother , apollo .  ===however , she   was   worshipped   early   in   arcadia   as   a huntress   among   the   nymphs ,   and   this arcadian artemis has no connection whatso- ever with apollo , the association being made only by later writers .  ===in   mythology   she   is   korythalia ,   “ laurel maiden , ” the twin sister of apollo , daughter of zeus and leto .","However | advmod | ADV | []
, | punct | PUNCT | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
was | auxpass | VERB | [However, ,, she,  ]
  |  | SPACE | []
worshipped | ROOT | VERB | [was,  , early, in, Arcadia, as, and, has]
  |  | SPACE | []
early | advmod | ADJ | [ ]
  |  | SPACE | []
in | prep | ADP | [ ]
  |  | SPACE | []
Arcadia | dobj | PROPN | [ ]
  |  | SPACE | []
as | prep | ADP | [ , huntress]
  |  | SPACE | []
a | det | DET | []
huntress | pobj | NOUN | [a,  , among]
  |  | SPACE | []
among | prep | ADP | [ , nymphs]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
nymphs | pobj | NOUN | [the, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
this | det | DET | []
Arcadian | compound | PROPN | []
Artemis | nsubj | PROPN | [this, Arcadian]
has | conj | VERB | [Artemis, connection, .]
no | det | DET | []
connection | dobj | NOUN | [no, whatso-]
whatso- | amod | VERB | [with]
ever | advmod | ADV | []
with | prep | ADP | [ever, Apollo]
Apollo | pobj | PROPN | [,, association]
, | punct | PUNCT | []
the | det | DET | []
association | appos | NOUN | [the, made]
being | auxpass | VERB | []
made | acl | VERB | [being, by]
only | advmod | ADV | []
by | agent | ADP | [only, writers]
later | amod | ADJ | []
writers | pobj | NOUN | [later]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Arcadia,worshipped
Apollo (she),"Korythalia ,   “ laurel maiden , ” the twin sister of Apollo , daughter of Zeus and Leto", is ,"however , she   was   worshipped   early   in   arcadia   as   a huntress   among   the   nymphs ,   and   this arcadian artemis has no connection whatso- ever with apollo , the association being made only by later writers .  ===in   mythology   she   is   korythalia ,   “ laurel maiden , ” the twin sister of apollo , daughter of zeus and leto .===hera , jealous of zeus ’s contin- ued philandering , caused leto to wander from place to place until she gave birth to artemis under a palm tree on the island of ortygia and to   apollo   on   the   island   of   delos .  ","In | prep | ADP | [ , mythology]
  |  | SPACE | []
mythology | pobj | NOUN | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
is | ROOT | VERB | [In, she,  , Korythalia, .]
  |  | SPACE | []
Korythalia | attr | PROPN | [,, maiden, ,, ”, sister]
, | punct | PUNCT | [ ]
  |  | SPACE | []
“ | compound | ADJ | []
laurel | compound | NOUN | []
maiden | appos | NOUN | [“, laurel]
, | punct | PUNCT | []
” | punct | NOUN | []
the | det | DET | []
twin | amod | ADJ | []
sister | appos | NOUN | [the, twin, of]
of | prep | ADP | [Apollo]
Apollo | pobj | PROPN | [,, daughter]
, | punct | PUNCT | []
daughter | appos | NOUN | [of]
of | prep | ADP | [Zeus]
Zeus | pobj | PROPN | [and, Leto]
and | cc | CCONJ | []
Leto | conj | PROPN | []
. | punct | PUNCT | []",she,Korythalia,is
Artemis,the story of the   Trojan   War, appears ,"either they or zeus turned niobe into a rock on mount sipylus from which her tears fell as a stream .  ===artemis also appears briefly in the story of the   trojan   war .  ===when   the   greek   fleet   was beset by contrary winds at aulis , said to have been   caused   by   agamemnon   killing   a   hart and   thus   displeasing   artemis ,   calchas advised that only the sacrifice of iphigeneia , agamemnon ’s   daughter ,   would   appease   the goddess .  ","Artemis | nsubj | PROPN | []
also | advmod | ADV | []
appears | ROOT | VERB | [Artemis, also, briefly, in, .]
briefly | advmod | NOUN | []
in | prep | ADP | [story]
the | det | DET | []
story | pobj | NOUN | [the, of]
of | prep | ADP | [War]
the | det | DET | [ ]
  |  | SPACE | []
Trojan | compound | PROPN | [ ]
  |  | SPACE | []
War | pobj | PROPN | [the, Trojan]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,story,appears
Artemis  ,the   supreme   deity  , was ,"later   still   she   artemis tauropolos 49   came   to   be   identified ,   more   or   less ,   with hecate .  ===though   usually   represented   as   a   rural divinity ,   artemis   was   the   supreme   deity   in three   great   cities :   ephesus   in   turkey ,   which was   her   main   cult   center ;   massalia   ( mar- seilles ) ,   to   which   ionian   greeks   from   asia minor===took her cult between 600 b.c. and 500 b.c. ; and in syracuse , in southern sicily , where she was known as artemis arethusa .","Though | dep | PROPN | [ ]
  |  | SPACE | []
usually | advmod | ADV | [ ]
  |  | SPACE | []
represented | advcl | VERB | [Though, usually,  , as]
  |  | SPACE | []
as | prep | ADP | [ , divinity]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
rural | amod | ADJ | []
divinity | pobj | NOUN | [a, rural]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Artemis | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [represented, ,, Artemis,  , deity, in, :, Ephesus]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
supreme | amod | PROPN | [ ]
  |  | SPACE | []
deity | attr | NOUN | [the, supreme,  ]
  |  | SPACE | []
in | prep | ADP | [cities]
three | nummod | NUM | [ ]
  |  | SPACE | []
great | amod | ADJ | [ ]
  |  | SPACE | []
cities | pobj | NOUN | [three, great]
: | punct | PUNCT | [ ]
  |  | SPACE | []
Ephesus | appos | PROPN | [ , in]
  |  | SPACE | []
in | prep | ADP | [ , Turkey]
  |  | SPACE | []
Turkey | pobj | PROPN | [,, was, Massalia]
, | punct | PUNCT | [ ]
  |  | SPACE | []
which | nsubj | ADJ | []
was | relcl | VERB | [which,  , center, ;]
  |  | SPACE | []
her | poss | ADJ | [ ]
  |  | SPACE | []
main | amod | ADJ | [ ]
  |  | SPACE | []
cult | compound | NOUN | [ ]
  |  | SPACE | []
center | attr | NOUN | [her, main, cult]
; | punct | PUNCT | [ ]
  |  | SPACE | []
Massalia | appos | PROPN | [ , seilles, ,, to, Greeks]
  |  | SPACE | []
( | punct | PUNCT | []
Mar- | compound | PROPN | []
seilles | appos | NOUN | [(, Mar-, )]
) | punct | PUNCT | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
which | det | ADJ | [ ]
  |  | SPACE | []
Ionian | amod | PROPN | [ ]
  |  | SPACE | []
Greeks | relcl | PROPN | [which, Ionian,  , from]
  |  | SPACE | []
from | prep | ADP | [ , Minor]
  |  | SPACE | []
Asia | compound | PROPN | []
Minor | pobj | PROPN | [Asia]",Artemis,deity,was
Artemis  ,"Patras , where it is claimed human sacrifices", worshipped ,"an   aspect   of  ===artemis   worshipped   at   patras , where it is claimed human sacrifices were car- ried out in her honor .  ===ascalaphus   greek  ","Artemis | nsubj | PROPN | [ ]
  |  | SPACE | []
worshipped | ROOT | VERB | [Artemis,  , at, were, .]
  |  | SPACE | []
at | prep | ADP | [ , Patras]
  |  | SPACE | []
Patras | pobj | PROPN | [,, claimed]
, | punct | PUNCT | []
where | advmod | ADV | []
it | nsubjpass | PRON | []
is | auxpass | VERB | []
claimed | relcl | VERB | [where, it, is, sacrifices]
human | amod | ADJ | []
sacrifices | dobj | NOUN | [human]
were | advcl | VERB | [ried]
car- | advmod | VERB | []
ried | acomp | VERB | [car-, out, in]
out | prt | PART | []
in | prep | ADP | [honor]
her | poss | ADJ | []
honor | pobj | NOUN | [her]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,Patras,worshipped
Greek (he),some, was ,"ascalaphus   greek  ===freed from the underworld by heracles when that hero also freed theseus during his twelfth ( and   final )   labor ,   he   was ,   according   to   some , turned into an owl by demeter for revealing that he had seen persephone eat while in the underworld .  ===ascanius greco - roman  ","Freed | advcl | PROPN | [from, by, freed]
from | prep | ADP | [Underworld]
the | det | DET | []
Underworld | pobj | PROPN | [the]
by | prep | ADP | [Heracles]
Heracles | pobj | PROPN | []
when | advmod | ADV | []
that | det | DET | []
hero | nsubj | NOUN | [that]
also | advmod | ADV | []
freed | advcl | VERB | [when, hero, also, Theseus, during]
Theseus | dobj | PROPN | []
during | prep | ADP | [twelfth]
his | poss | ADJ | []
twelfth | pobj | ADJ | [his, (, and, labor]
( | punct | PUNCT | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
final | amod | ADJ | [)]
) | punct | PUNCT | [ ]
  |  | SPACE | []
labor | conj | NOUN | [final]
, | punct | PUNCT | [ ]
  |  | SPACE | []
he | nsubj | PRON | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Freed, ,, he, ,, according, ,, turned, .]
, | punct | PUNCT | [ ]
  |  | SPACE | []
according | prep | VERB | [ , to]
  |  | SPACE | []
to | prep | ADP | [ , some]
  |  | SPACE | []
some | pobj | DET | []
, | punct | PUNCT | []
turned | conj | VERB | [into, for]
into | prep | ADP | [owl]
an | det | DET | []
owl | pobj | NOUN | [an, by]
