Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
curse | compound | NOUN | []
tablets | nsubj | NOUN | [The, curse]
were | ROOT | VERB | [tablets, pieces, .]
thin | amod | ADJ | []
pieces | attr | NOUN | [thin, of, (, and, materials]
of | prep | ADP | [lead]
lead | pobj | NOUN | []
( | punct | PUNCT | []
and | cc | CCONJ | []
sometimes | advmod | ADV | []
other | amod | ADJ | []
materials | conj | NOUN | [sometimes, other, ), inscribed]
) | punct | PUNCT | []
on | prep | ADP | [which]
which | pobj | ADJ | []
were | auxpass | VERB | []
inscribed | relcl | VERB | [on, were, name]
the | det | DET | []
victim | poss | NOUN | [the, ’s]
’s | case | PART | []
name | dobj | NOUN | [victim, ,, curse]
, | punct | PUNCT | []
the | det | DET | []
curse | conj | NOUN | [the, ,, symbols, invoked]
, | punct | PUNCT | []
magical | amod | ADJ | []
symbols | conj | NOUN | [magical, ,, and, names]
, | punct | PUNCT | []
and | cc | CCONJ | []
names | conj | NOUN | [of]
of | prep | ADP | [deities]
various | amod | ADJ | []
deities | pobj | NOUN | [various, or, DAIMONES]
or | cc | CCONJ | []
the | det | DET | []
more | advmod | ADV | []
generic | amod | ADJ | [more]
DAIMONES | conj | PROPN | [the, generic]
invoked | acl | VERB | [carry]
to | aux | PART | []
carry | advcl | VERB | [to, out, curse]
out | prt | PART | []
the | det | DET | []
curse | dobj | NOUN | [the]
. | punct | PUNCT | []"
Iao,are ,"variants of Yahweh , a Jewish name for God","aeia .  ===IAO and iasdo are variants of yahweh , a jewish name for god .  ===curses in various forms are mentioned 230 times in the bible .",variants,are,"Iao | nsubj | PROPN | [and, Iasdo]
and | cc | CCONJ | []
Iasdo | conj | PROPN | []
are | ROOT | VERB | [Iao, variants, .]
variants | attr | NOUN | [of]
of | prep | ADP | [Yahweh]
Yahweh | pobj | PROPN | [,, name]
, | punct | PUNCT | []
a | det | DET | []
Jewish | amod | ADJ | []
name | appos | NOUN | [a, Jewish, for]
for | prep | ADP | [God]
God | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
objects,are ,the Catholic Church,"there are likely to be signs of mental or emotional breakdown , repeated and chronic illness , infertility and miscarriages , ﬁnancial problems , a tendency to have accidents , and a family history of unnatural and untimely deaths , such as by violence or suicide .  ===in cases of possession and exorcism performed by the catholic church , cursed OBJECTS are dangerous and must be destroyed .===if a victim vomits up a cursed object , the exorcist should not touch it directly ; an exorcist who does so should pray and wash his or her hands with holy water .",Church,are,"In | prep | ADP | [cases]
cases | pobj | NOUN | [of]
of | prep | ADP | [possession]
possession | pobj | NOUN | [and, EXORCISM, performed]
and | cc | CCONJ | []
EXORCISM | conj | NOUN | []
performed | acl | VERB | [by]
by | agent | ADP | [Church]
the | det | DET | []
Catholic | compound | PROPN | []
Church | pobj | PROPN | [the, Catholic]
, | punct | PUNCT | []
cursed | amod | ADJ | []
objects | nsubj | NOUN | [cursed]
are | ROOT | VERB | [In, ,, objects, dangerous, and, destroyed, .]
dangerous | acomp | ADJ | []
and | cc | CCONJ | []
must | aux | VERB | []
be | auxpass | VERB | []
destroyed | conj | VERB | [must, be]
. | punct | PUNCT | []"
thou,appear in,this triangle,"o spirit n. , who art wicked and disobedient , because thou hast not obeyed my commands and the glorious and incomprehensible names of the true god , the creator of all things , now by the irresistible power of these names i curse thee into the depths of the bottomless pit , there to remain in unquenchable ﬁre and brimstone until the day of wrath===unless THOU shalt forthwith appear in this triangle before this circle to do my will .===come quickly and in peace by the names adonai , zebaoth , adonai , amioram .",triangle,appear,"unless | mark | ADP | []
thou | nsubj | NOUN | []
shalt | aux | VERB | [unless, thou]
forthwith | auxpass | VERB | []
appear | ROOT | VERB | [shalt, forthwith, in, do, .]
in | prep | ADP | [triangle]
this | det | DET | []
triangle | pobj | NOUN | [this]
before | mark | ADP | [circle]
this | det | DET | []
circle | pobj | NOUN | [this]
to | aux | PART | []
do | advcl | VERB | [before, to, will]
my | poss | ADJ | []
will | dobj | NOUN | [my]
. | punct | PUNCT | []"
Others,are ,"those of Oliver Cromwell ’s supporters , called Roundheads , during the English Civil War in the mid-17th century","some of the skulls belong to victims of religious persecution during the 16th - century reformation initiated by king henry viii .===OTHERS are those of oliver cromwell ’s supporters , called roundheads , during the english civil war in the mid-17th century .===still other skulls are from people who lost their heads in various violent episodes , such as murders .",those,are,"Others | nsubj | NOUN | []
are | ROOT | VERB | [Others, those, .]
those | attr | DET | [of, during]
of | prep | ADP | [supporters]
Oliver | compound | PROPN | []
Cromwell | poss | PROPN | [Oliver, ’s]
’s | case | PART | []
supporters | pobj | NOUN | [Cromwell, ,, called, ,]
, | punct | PUNCT | []
called | acl | VERB | [Roundheads]
Roundheads | oprd | PROPN | []
, | punct | PUNCT | []
during | prep | ADP | [War]
the | det | DET | []
English | compound | PROPN | []
Civil | compound | PROPN | []
War | pobj | PROPN | [the, English, Civil, in]
in | prep | ADP | [century]
the | det | DET | []
mid-17th | amod | ADJ | []
century | pobj | NOUN | [the, mid-17th]
. | punct | PUNCT | []"
skulls,are from,"people who lost their heads in various violent episodes , such as murders","others are those of oliver cromwell ’s supporters , called roundheads , during the english civil war in the mid-17th century .===still other SKULLS are from people who lost their heads in various violent episodes , such as murders .===other cursed objects may house demons that unleash trouble upon the owners of the objects .",people,are,"Still | advmod | ADV | []
other | amod | ADJ | []
skulls | nsubj | NOUN | [other]
are | ROOT | VERB | [Still, skulls, from, .]
from | prep | ADP | [people]
people | pobj | NOUN | [lost]
who | nsubj | NOUN | []
lost | relcl | VERB | [who, heads, in]
their | poss | ADJ | []
heads | dobj | NOUN | [their]
in | prep | ADP | [episodes]
various | amod | ADJ | []
violent | amod | ADJ | []
episodes | pobj | NOUN | [various, violent, ,, as]
, | punct | PUNCT | []
such | amod | ADJ | []
as | prep | ADP | [such, murders]
murders | pobj | NOUN | []
. | punct | PUNCT | []"
daevas,are ,the principals of the infernal hordes,"in zoroastrianism , a powerful demon .===the DAEVAS are the principals of the infernal hordes and are the counterparts and mirror opposites of the amesha spentas , good spirits .===they personify all diseases , sins , and distresses suffered by humanity .",principals,are,"The | det | DET | []
daevas | nsubj | NOUN | [The]
are | ROOT | VERB | [daevas, principals, and, are, .]
the | det | DET | []
principals | attr | NOUN | [the, of]
of | prep | ADP | [hordes]
the | det | DET | []
infernal | amod | ADJ | []
hordes | pobj | NOUN | [the, infernal]
and | cc | CCONJ | []
are | conj | VERB | [counterparts]
the | det | DET | []
counterparts | attr | NOUN | [the, and, opposites, of]
and | cc | CCONJ | []
mirror | compound | NOUN | []
opposites | conj | NOUN | [mirror]
of | prep | ADP | [spentas]
the | det | DET | []
amesha | compound | NOUN | []
spentas | pobj | NOUN | [the, amesha, ,, spirits]
, | punct | PUNCT | []
good | amod | ADJ | []
spirits | appos | NOUN | [good]
. | punct | PUNCT | []"
Most,are ,the daevas,"they personify all diseases , sins , and distresses suffered by humanity .===MOST of the daevas are male .  ===in the gathas , the oldest zoroastrian texts , the daevas are wrong or false gods , or “ gods that are ( to be ) rejected .",daevas,are,"Most | nsubj | ADJ | [of]
of | prep | ADP | [daevas]
the | det | DET | []
daevas | pobj | NOUN | [the]
are | ROOT | VERB | [Most, male, .]
male | acomp | ADJ | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
daevas,are ,"the Gathas , the oldest Zoroastrian texts","most of the daevas are male .  ===in the gathas , the oldest zoroastrian texts , the DAEVAS are wrong or false gods , or “ gods that are ( to be ) rejected .===”",Gathas,are,"In | prep | ADP | [Gathas]
the | det | DET | []
Gathas | pobj | PROPN | [the, ,, texts]
, | punct | PUNCT | []
the | det | DET | []
oldest | amod | ADJ | []
Zoroastrian | amod | ADJ | []
texts | appos | NOUN | [the, oldest, Zoroastrian]
, | punct | PUNCT | []
the | det | DET | []
daevas | nsubj | NOUN | [the]
are | ROOT | VERB | [In, ,, daevas, gods, .]
wrong | amod | ADJ | [or, false]
or | cc | CCONJ | []
false | conj | ADJ | []
gods | attr | NOUN | [wrong, ,, or, gods, rejected]
, | punct | PUNCT | []
or | cc | CCONJ | []
“ | compound | ADJ | []
gods | conj | NOUN | [“]
that | nsubj | ADJ | []
are | auxpass | VERB | [that]
( | punct | PUNCT | []
to | aux | PART | []
be | auxpass | VERB | [(, to, )]
) | punct | PUNCT | []
rejected | relcl | VERB | [are, be]
. | punct | PUNCT | []"
daevas,are ,the Younger Avesta,"”===in the younger avesta , the DAEVAS are vile beings who create chaos and disorder .===in later tradition and folklore , they personify all evils imaginable .  ",Avesta,are,"In | prep | ADP | [Avesta]
the | det | DET | []
Younger | compound | ADJ | []
Avesta | pobj | PROPN | [the, Younger]
, | punct | PUNCT | []
the | det | DET | []
daevas | nsubj | NOUN | [the]
are | ROOT | VERB | [In, ,, daevas, beings, .]
vile | amod | ADJ | []
beings | attr | NOUN | [vile, create]
who | nsubj | NOUN | []
create | relcl | VERB | [who, chaos]
chaos | dobj | NOUN | [and, disorder]
and | cc | CCONJ | []
disorder | conj | NOUN | []
. | punct | PUNCT | []"
they,appear in,human form,"the daevas were created from the evil thoughts of ahriman for the purpose of waging war against goodness and humanity .===though spirits , THEY can appear in human form .===evil men also are called daevas .  ",form,appear,"Though | mark | ADP | []
spirits | advcl | NOUN | [Though]
, | punct | PUNCT | []
they | nsubj | PRON | []
can | aux | VERB | []
appear | ROOT | VERB | [spirits, ,, they, can, in, .]
in | prep | ADP | [form]
human | amod | ADJ | []
form | pobj | NOUN | [human]
. | punct | PUNCT | []"
gateway,is ,HELL,"the daevas originate in the north , the direction of evil .===their GATEWAY to hell is mount arezura , named after a son of ahriman who was slain by gayomart .  ===there are hordes of daevas ; little is known about most of them .",HELL,is,"Their | poss | ADJ | []
gateway | nsubj | NOUN | [Their, to]
to | prep | ADP | [HELL]
HELL | pobj | PROPN | []
is | ROOT | VERB | [gateway, Arezura, .]
Mount | compound | PROPN | []
Arezura | attr | PROPN | [Mount, ,, named]
, | punct | PUNCT | []
named | acl | VERB | [after]
after | prep | ADP | [son]
a | det | DET | []
son | pobj | NOUN | [a, of, slain]
of | prep | ADP | [Ahriman]
Ahriman | pobj | PROPN | []
who | nsubjpass | NOUN | []
was | auxpass | VERB | []
slain | relcl | VERB | [who, was, by]
by | agent | ADP | [Gayomart]
Gayomart | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
numbers,are ,daevas,"ahriman made 24 daevas to penetrate the egg so that evil   could mix with good .===in later zoroastrian texts , the NUMBERS of daevas are legion .  ===the wicked who follow the daevas are condemned to go to the place of worst thought in the afterlife , the same designation given to druj .  ",daevas,are,"In | prep | ADP | [texts]
later | amod | ADJ | []
Zoroastrian | amod | ADJ | []
texts | pobj | NOUN | [later, Zoroastrian]
, | punct | PUNCT | []
the | det | DET | []
numbers | nsubj | NOUN | [the, of]
of | prep | ADP | [daevas]
daevas | pobj | NOUN | []
are | ROOT | VERB | [In, ,, numbers, LEGION, .]
LEGION | attr | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
fearsome,is ,the daevas,"the wicked who follow the daevas are condemned to go to the place of worst thought in the afterlife , the same designation given to druj .  ===the most FEARSOME of the daevas is aeshma , who is comparable to asmodeus .  ===further reading :  ",daevas,is,"The | det | DET | []
most | advmod | ADV | []
fearsome | nsubj | ADJ | [The, most, of]
of | prep | ADP | [daevas]
the | det | DET | []
daevas | pobj | NOUN | [the]
is | ROOT | VERB | [fearsome, AESHMA, .]
AESHMA | attr | PROPN | [,, is]
, | punct | PUNCT | []
who | nsubj | NOUN | []
is | relcl | VERB | [who, comparable]
comparable | acomp | ADJ | [to]
to | prep | ADP | [ASMODEUS]
ASMODEUS | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Daimones,be ,either good or evil in nature,"”===DAIMONES can be either good or evil in nature , though even good ones will act in a hostile fashion when angered .===a good daimon is called an agathodaimon and an evil daimon is called a kakodaimon .",good,be,"Daimones | nsubj | NOUN | []
can | aux | VERB | []
be | ROOT | VERB | [Daimones, can, good, ,, act, .]
either | preconj | CCONJ | []
good | acomp | ADJ | [either, or, evil, in]
or | cc | CCONJ | []
evil | conj | NOUN | []
in | prep | ADP | [nature]
nature | pobj | NOUN | []
, | punct | PUNCT | []
though | mark | ADP | []
even | advmod | ADV | []
good | amod | ADJ | []
ones | nsubj | NOUN | [even, good]
will | aux | VERB | []
act | advcl | VERB | [though, ones, will, in, angered]
in | prep | ADP | [fashion]
a | det | DET | []
hostile | amod | ADJ | []
fashion | pobj | NOUN | [a, hostile]
when | advmod | ADV | []
angered | advcl | VERB | [when]
. | punct | PUNCT | []"
Some,are ,vampiric in nature,daimones can take over human bodies in the form of possession ( especially for oracular prophecy ) and possess humans to cause physical and mental illness .===SOME are vampiric in nature .  ===51,vampiric,are,"Some | nsubj | DET | []
are | ROOT | VERB | [Some, vampiric, .]
vampiric | acomp | ADJ | [in]
in | prep | ADP | [nature]
nature | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Dantanian,is ,"a mighty duke who appears in   the form of a man with many faces of men and women , carrying a book in his hand","dantanian fallen angel and 71st of the 72 spirits of solomon .===DANTANIAN is a mighty duke who appears in   the form of a man with many faces of men and women , carrying a book in his hand .===he knows human thoughts and can change them at will .",duke,is,"Dantanian | nsubj | PROPN | []
is | ROOT | VERB | [Dantanian, duke, .]
a | det | DET | []
mighty | amod | ADJ | []
duke | attr | NOUN | [a, mighty, appears]
who | nsubj | NOUN | []
appears | relcl | VERB | [who, in, ,, carrying]
in | prep | ADP | [ , form]
  |  | SPACE | []
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [man]
a | det | DET | []
man | pobj | NOUN | [a, with]
with | prep | ADP | [faces]
many | amod | ADJ | []
faces | pobj | NOUN | [many, of]
of | prep | ADP | [men]
men | pobj | NOUN | [and, women]
and | cc | CCONJ | []
women | conj | NOUN | []
, | punct | PUNCT | []
carrying | advcl | VERB | [book, in]
a | det | DET | []
book | dobj | NOUN | [a]
in | prep | ADP | [hand]
his | poss | ADJ | []
hand | pobj | NOUN | [his]
. | punct | PUNCT | []"
He,teaches ,all arts and sciences,he makes people fall in love and can show visions of people anywhere to others .===HE teacHEs all arts and sciences .===he governs 36 legions of demons .  ,arts,teaches,"He | nsubj | PRON | []
teaches | ROOT | VERB | [He, arts, .]
all | det | DET | []
arts | dobj | NOUN | [all, and, sciences]
and | cc | CCONJ | []
sciences | conj | NOUN | []
. | punct | PUNCT | []"
woman,was ,"60-year - old Alice Gooderidge , who was already suspected of being a witch ,","he said that the day his ﬁts began , he had been out in the woods and met a “ little old woman ” with three warts on her face .===the WOMAN was 60-year - old alice gooderidge , who was already suspected of being a witch , as was her mother .===darling farted , prompting gooderidge to curse him with a rhyme :  ",Gooderidge,was,"The | det | DET | []
woman | nsubj | NOUN | [The]
was | ROOT | VERB | [woman, Gooderidge, was, .]
60-year | npadvmod | ADJ | []
- | punct | PUNCT | []
old | amod | ADJ | [60-year, -]
Alice | compound | PROPN | []
Gooderidge | attr | PROPN | [old, Alice, ,, suspected, ,]
, | punct | PUNCT | []
who | nsubjpass | NOUN | []
was | auxpass | VERB | []
already | advmod | ADV | []
suspected | relcl | VERB | [who, was, already, of]
of | prep | ADP | [being]
being | pcomp | VERB | [witch]
a | det | DET | []
witch | attr | NOUN | [a]
, | punct | PUNCT | []
as | mark | ADP | []
was | advcl | VERB | [as, mother]
her | poss | ADJ | []
mother | attr | NOUN | [her]
. | punct | PUNCT | []"
he,carried on,his ﬁts,"darling performed well for a young demoniac .===during his ﬁts , HE carried on inspired tHEological debates with tHE devil modeled on jesus’ temptations by satan in tHE desert .===he moaned about dying young at the hands of the devil .",ﬁts,carried,"During | prep | ADP | [ﬁts]
his | poss | ADJ | []
ﬁts | pobj | NOUN | [his]
, | punct | PUNCT | []
he | nsubj | PRON | []
carried | ROOT | VERB | [During, ,, he, on, .]
on | prep | ADP | [debates]
inspired | amod | VERB | []
theological | amod | ADJ | []
debates | pobj | NOUN | [inspired, theological, with]
with | prep | ADP | [DEVIL]
the | det | DET | []
DEVIL | pobj | PROPN | [the, modeled]
modeled | acl | VERB | [on]
on | prep | ADP | [temptations]
JESUS’ | compound | PROPN | []
temptations | pobj | NOUN | [JESUS’, by, in]
by | prep | ADP | [SATAN]
SATAN | pobj | PROPN | []
in | prep | ADP | [desert]
the | det | DET | []
desert | pobj | NOUN | [the]
. | punct | PUNCT | []"
demon,appeared along,the witch,"darling became entranced , and a “ demon ” speaking through him said he would go to his master , beelzebub .===the great DEMON appeared , along with the witch , and darling said he forgave gooderidge and begged the lord to forgive her too .===he ordered beelzebub to leave .  ",witch,appeared,"The | det | DET | []
great | amod | ADJ | []
demon | nsubj | NOUN | [The, great]
appeared | ROOT | VERB | [demon, ,, along, ,, and, said]
, | punct | PUNCT | []
along | prep | ADP | [with]
with | prep | ADP | [witch]
the | det | DET | []
witch | pobj | NOUN | [the]
, | punct | PUNCT | []
and | cc | CCONJ | []
Darling | nsubj | PROPN | []
said | conj | VERB | [Darling, forgave, .]
he | nsubj | PRON | []
forgave | ccomp | VERB | [he, Gooderidge, and, begged]
Gooderidge | dobj | PROPN | []
and | cc | CCONJ | []
begged | conj | VERB | [Lord, forgive]
the | det | DET | []
Lord | dobj | PROPN | [the]
to | aux | PART | []
forgive | xcomp | VERB | [to, her, too]
her | dobj | PRON | []
too | advmod | ADV | []
. | punct | PUNCT | []"
he,were ,a relapse of temptation,"suddenly darling could use his legs again , which he credited to jesus .===his troubles were not immediately over , for HE had a relapse of temptation .===after a vision of a dove , he was permanently cured .  ",relapse,were,"His | poss | ADJ | []
troubles | nsubj | NOUN | [His]
were | ROOT | VERB | [troubles, not, over, ,, had, .]
not | neg | ADV | []
immediately | advmod | ADV | []
over | advmod | ADV | [immediately]
, | punct | PUNCT | []
for | mark | ADP | []
he | nsubj | PRON | []
had | advcl | VERB | [for, he, relapse]
a | det | DET | []
relapse | dobj | NOUN | [a, of]
of | prep | ADP | [temptation]
temptation | pobj | NOUN | []
. | punct | PUNCT | []"
He,was ,unsuccessful in dispossessing Wright,"l ancashire possession ) .===HE was unsuccessful in dispossessing wright , and although a witch was accused of causing HEr possession , tHE justice in charge refused to commit tHE witch and warned darrel to desist from exorcisms or face imprisonment .===in the darling possession , darrel advised fasting and prayer but was not present during the exorcism so as to avoid personal glory .  ",unsuccessful,was,"He | nsubj | PRON | []
was | ROOT | VERB | [He, unsuccessful, ,, and, refused]
unsuccessful | acomp | ADJ | [in]
in | prep | ADP | [dispossessing]
dispossessing | pcomp | VERB | [Wright]
Wright | dobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
although | mark | ADP | []
a | det | DET | []
witch | nsubjpass | NOUN | [a]
was | auxpass | VERB | []
accused | advcl | VERB | [although, witch, was, of]
of | prep | ADP | [causing]
causing | pcomp | VERB | [POSSESSION]
her | poss | ADJ | []
POSSESSION | dobj | NOUN | [her]
, | punct | PUNCT | []
the | det | DET | []
justice | nsubj | NOUN | [the, in]
in | prep | ADP | [charge]
charge | pobj | NOUN | []
refused | conj | VERB | [accused, ,, justice, commit, and, warned, .]
to | aux | PART | []
commit | xcomp | VERB | [to, witch]
the | det | DET | []
witch | dobj | NOUN | [the]
and | cc | CCONJ | []
warned | conj | VERB | [Darrel, desist]
Darrel | dobj | PROPN | []
to | aux | PART | []
desist | xcomp | VERB | [to, from]
from | prep | ADP | [exorcisms]
exorcisms | pobj | NOUN | [or, imprisonment]
or | cc | CCONJ | []
face | compound | VERB | []
imprisonment | conj | NOUN | [face]
. | punct | PUNCT | []"
possession,summoned ,Edmund Hartley,"in the darling possession , darrel advised fasting and prayer but was not present during the exorcism so as to avoid personal glory .  ===the POSSESSION of the seven lancashire children had already led to the execution of edmund hartley , originally summoned to cure the children but eventually found to be the witch responsible .===darrel was consulted because the children continued to have ﬁts and convulsions .",Hartley,summoned,"The | det | DET | []
possession | nsubj | NOUN | [The, of]
of | prep | ADP | [children]
the | det | DET | []
seven | nummod | NUM | []
Lancashire | compound | PROPN | []
children | pobj | NOUN | [the, seven, Lancashire]
had | aux | VERB | []
already | advmod | ADV | []
led | ccomp | VERB | [possession, had, already, to]
to | prep | ADP | [execution]
the | det | DET | []
execution | pobj | NOUN | [the, of]
of | prep | ADP | [Hartley]
Edmund | compound | PROPN | []
Hartley | pobj | PROPN | [Edmund]
, | punct | PUNCT | []
originally | advmod | ADV | []
summoned | ROOT | VERB | [led, ,, originally, cure, but, found, .]
to | aux | PART | []
cure | xcomp | VERB | [to, children]
the | det | DET | []
children | dobj | NOUN | [the]
but | cc | CCONJ | []
eventually | advmod | ADV | []
found | conj | VERB | [eventually, be]
to | aux | PART | []
be | xcomp | VERB | [to, witch]
the | det | DET | []
witch | attr | NOUN | [the, responsible]
responsible | amod | ADJ | []
. | punct | PUNCT | []"
case,was ,"the dispossession of William Sommers of Nottingham , begun in November 1597","assisted by the derbyshire minister george more , darrel exorcised the children in one afternoon , emphasizing that the greatest value of such puritan exorcisms was in refuting the claim by the papists that theirs was the only true church since they could cast out devils .  ===darrel ’s last CASE was the dispossession of william sommers of nottingham , begun in november 1597 .===sommers , aged 20 , suffered ﬁts and had a lump the size of an egg , which ran about his body .",dispossession,was,"Darrel | poss | PROPN | [’s]
’s | case | PART | []
last | amod | ADJ | []
case | nsubj | NOUN | [Darrel, last]
was | ROOT | VERB | [case, dispossession, .]
the | det | DET | []
dispossession | attr | NOUN | [the, of, ,, begun]
of | prep | ADP | [Sommers]
William | compound | PROPN | []
Sommers | pobj | PROPN | [William, of]
of | prep | ADP | [Nottingham]
Nottingham | pobj | PROPN | []
, | punct | PUNCT | []
begun | acl | VERB | [in]
in | prep | ADP | [November]
November | pobj | PROPN | [1597]
1597 | nummod | NUM | []
. | punct | PUNCT | []"
behavior,was ,obscene,"sommers , aged 20 , suffered ﬁts and had a lump the size of an egg , which ran about his body .===his BEHAVIOR was obscene , including bestiality with a dog in front of onlookers .===darrel exorcized him before 150 witnesses , but sommers suffered repossessions , eventually naming witches responsible .",obscene,was,"His | poss | ADJ | []
behavior | nsubj | NOUN | [His, including]
was | ROOT | VERB | [behavior, obscene, ,, .]
obscene | acomp | ADJ | []
, | punct | PUNCT | []
including | prep | VERB | [bestiality]
bestiality | pobj | NOUN | [with]
with | prep | ADP | [dog]
a | det | DET | []
dog | pobj | NOUN | [a, in]
in | prep | ADP | [front]
front | pobj | NOUN | [of]
of | prep | ADP | [onlookers]
onlookers | pobj | NOUN | []
. | punct | PUNCT | []"
Wright,summoned as,witnesses against Darrel,"fearful of the effect on the people , as well as the increasing power of the puritans , or calvinists , the archbishop of canterbury moved against darrel .===katherine WRIGHT and thomas darling were summoned as witnesses against darrel and joined sommers in confessing fraud .===wright and sommers even accused darrel of teaching them how to contrive ﬁts .",witnesses,summoned,"Katherine | compound | PROPN | []
Wright | nsubjpass | PROPN | [Katherine, and, Darling]
and | cc | CCONJ | []
Thomas | compound | PROPN | []
Darling | conj | PROPN | [Thomas]
were | auxpass | VERB | []
summoned | ROOT | VERB | [Wright, were, as, and, joined, .]
as | prep | ADP | [witnesses]
witnesses | pobj | NOUN | [against]
against | prep | ADP | [Darrel]
Darrel | pobj | PROPN | []
and | cc | CCONJ | []
joined | conj | VERB | [Sommers, in]
Sommers | dobj | PROPN | []
in | prep | ADP | [confessing]
confessing | pcomp | VERB | [fraud]
fraud | dobj | NOUN | []
. | punct | PUNCT | []"
career,was ,people,"after his release , he went into hiding for at least two years .===his CAREER dispossessing people was over .  ===as a result of darrel ’s conviction , the anglican church passed canon 72 of the episcopal church , forbidding exorcism as a formal ritual .",people,was,"His | poss | ADJ | []
career | nsubj | NOUN | [His, dispossessing]
dispossessing | acl | VERB | [people]
people | dobj | NOUN | []
was | ROOT | VERB | [career, over, .]
over | advmod | ADV | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Decarabia,is ,a marquis in HELL with  ,decarabia ( carabia ) fallen angel and 69th of the 72 spirits of solomon .===DECARABIA is a marquis in hell with   30 legions of demons reporting to him .===he appears as a star in a pentacle but changes into a man when ordered to do so .,marquis,is,"Decarabia | nsubj | PROPN | []
is | ROOT | VERB | [Decarabia, marquis, LEGIONs, .]
a | det | DET | []
marquis | attr | NOUN | [a, in, with]
in | prep | ADP | [HELL]
HELL | pobj | PROPN | []
with | prep | ADP | [ ]
  |  | SPACE | []
30 | nummod | NUM | []
LEGIONs | attr | NOUN | [30, of, reporting]
of | prep | ADP | [DEMONs]
DEMONs | pobj | NOUN | []
reporting | acl | VERB | [to]
to | prep | ADP | [him]
him | pobj | PRON | []
. | punct | PUNCT | []"
He,appears as,a star in a pentacle but changes into a man,"decarabia is a marquis in hell with   30 legions of demons reporting to him .===HE appears as a star in a pentacle but changes into a man wHEn ordered to do so .===he makes magical birds ﬂy before a magician and leaves them as familiar s , singing and eating as ordinary birds do .",star,appears,"He | nsubj | PRON | []
appears | ROOT | VERB | [He, as, ordered, .]
as | prep | ADP | [star]
a | det | DET | []
star | pobj | NOUN | [a, in, but, changes]
in | prep | ADP | [pentacle]
a | det | DET | []
pentacle | pobj | NOUN | [a]
but | cc | CCONJ | []
changes | conj | NOUN | [into]
into | prep | ADP | [man]
a | det | DET | []
man | pobj | NOUN | [a]
when | advmod | ADV | []
ordered | advcl | VERB | [when, do]
to | aux | PART | []
do | xcomp | VERB | [to, so]
so | advmod | ADV | []
. | punct | PUNCT | []"
Demonization,is ,a term used instead of possession,full and true possessions are considered to be rare .===DEMONIZATION is a term used instead of possession .  ===different types of demons are recognized .  ,term,is,"Demonization | nsubj | NOUN | []
is | ROOT | VERB | [Demonization, term, .]
a | det | DET | []
term | attr | NOUN | [a, used]
used | acl | VERB | [of]
instead | advmod | ADV | []
of | prep | ADP | [instead, possession]
possession | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Demons,are ,PAZUZU and BEELZEBUB,different types of demons are recognized .  ===• DEMONS with unusual names such as pazuzu and beelzebub are high in the hierarchy and represent the true DEMONS of hell .===these spirits are in a minority of afﬂicting demons .  ,PAZUZU,are,"• | compound | NOUN | []
Demons | nsubj | NOUN | [•, with]
with | prep | ADP | [names]
unusual | amod | ADJ | []
names | pobj | NOUN | [unusual, as]
such | amod | ADJ | []
as | prep | ADP | [such, PAZUZU]
PAZUZU | pobj | PROPN | [and, BEELZEBUB]
and | cc | CCONJ | []
BEELZEBUB | conj | PROPN | []
are | ROOT | VERB | [Demons, high, and, represent, .]
high | acomp | ADJ | [in]
in | prep | ADP | [hierarchy]
the | det | DET | []
hierarchy | pobj | NOUN | [the]
and | cc | CCONJ | []
represent | conj | VERB | [demons]
the | det | DET | []
true | amod | ADJ | []
demons | dobj | NOUN | [the, true, of]
of | prep | ADP | [HELL]
HELL | pobj | PROPN | []
. | punct | PUNCT | []"
spirits,are in,a minority of afﬂicting demons,• demons with unusual names such as pazuzu and beelzebub are high in the hierarchy and represent the true demons of hell .===these SPIRITS are in a minority of afﬂicting demons .  ===•,minority,are,"These | det | DET | []
spirits | nsubj | NOUN | [These]
are | ROOT | VERB | [spirits, in, .]
in | prep | ADP | [minority]
a | det | DET | []
minority | pobj | NOUN | [a, of]
of | prep | ADP | [demons]
afﬂicting | compound | VERB | []
demons | pobj | NOUN | [afﬂicting]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
that,are ,symptoms that denote when a deliverance is needed,the cause of demonization must be closed off through repentance and inner healing .  ===there are symptoms THAT denote when a deliverance is needed .  ===•,symptoms,are,"There | expl | ADV | []
are | ROOT | VERB | [There, symptoms, .]
