subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
he | nsubj | PRON | []
committed | conj | VERB | [he, crimes, ,, stealing, .]
numerous | amod | ADJ | []
crimes | dobj | NOUN | [numerous, against]
against | prep | ADP | [Sisyphus]
Sisyphus | pobj | PROPN | []
, | punct | PUNCT | []
stealing | advcl | VERB | [part]
a | det | DET | []
large | amod | ADJ | []
part | dobj | NOUN | [a, large, of]
of | prep | ADP | [herds]
his | poss | ADJ | []
herds | pobj | NOUN | [his]
. | punct | PUNCT | []",Hermes,god,was
nymph (she),"ori- gin , an Asian goddess of war who was wor- shipped in Cappadocia and Phrygia ,",may have been ,"the goddess of war .===possibly the sister , wife , or daughter of mars , she may have been , in ori- gin , an asian goddess of war who was wor- shipped in cappadocia and phrygia , her adoption into the roman pantheon being made under the patronage of the dictator sulla .  ===belus greek   one of the countless sons of poseidon and father of aegyptus , danaus , and cepheus .","Possibly | advmod | ADV | []
the | det | DET | []
sister | dep | NOUN | [the, ,, wife]
, | punct | PUNCT | []
wife | appos | NOUN | [,, or, daughter]
, | punct | PUNCT | []
or | cc | CCONJ | []
daughter | conj | NOUN | [of]
of | prep | ADP | [Mars]
Mars | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
may | aux | VERB | []
have | aux | VERB | []
been | ROOT | VERB | [Possibly, sister, ,, she, may, have, ,, in, adoption, .]
, | punct | PUNCT | []
in | prep | ADP | [gin]
ori- | amod | DET | []
gin | pobj | NOUN | [ori-, ,, goddess, ,]
, | punct | PUNCT | []
an | det | DET | []
Asian | amod | ADJ | []
goddess | appos | NOUN | [an, Asian, of, shipped]
of | prep | ADP | [war]
war | pobj | NOUN | []
who | nsubjpass | NOUN | []
was | auxpass | VERB | []
wor- | advmod | VERB | []
shipped | relcl | VERB | [who, was, wor-, in]
in | prep | ADP | [Cappadocia]
Cappadocia | pobj | PROPN | [and, Phrygia]
and | cc | CCONJ | []
Phrygia | conj | PROPN | []
, | punct | PUNCT | []
her | poss | ADJ | []
adoption | attr | NOUN | [her, into, made]
into | prep | ADP | [pantheon]
the | det | DET | []
Roman | amod | ADJ | []
pantheon | pobj | NOUN | [the, Roman]
being | auxpass | VERB | []
made | acl | VERB | [being, under]
under | prep | ADP | [patronage]
the | det | DET | []
patronage | pobj | NOUN | [the, of]
of | prep | ADP | [dictator]
the | det | DET | []
dictator | pobj | NOUN | [the, Sulla]
Sulla | appos | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,gin,been
Boreas,Athens,was worshipped in,"they had four children : two daughters , chione and cleo- patra ( the wife of phineus ) ; and two sons , zetes and calais , who took part in the expedi- tion of the argonauts and distinguished them- selves as the heroes who chased away the rav- enous harpies from the dinner table of the blind phineus , their brother - in - law .  ===although not a popular deity , boreas was particularly worshipped in athens and was always well disposed toward the city and its inhabitants .===during the fifth century b.c. the athenians attributed the destruction of the fleet of the persian xerxes to boreas .  ","Although | prep | ADP | [deity]
not | neg | ADV | []
a | det | DET | []
popular | amod | ADJ | []
deity | pobj | NOUN | [not, a, popular]
, | punct | PUNCT | []
Boreas | nsubjpass | PROPN | []
was | auxpass | VERB | []
particularly | advmod | ADV | []
worshipped | ROOT | VERB | [Although, ,, Boreas, was, particularly, in, and, was, .]
in | prep | ADP | [Athens]
Athens | pobj | PROPN | []
and | cc | CCONJ | []
was | conj | VERB | [always, disposed]
always | advmod | ADV | []
well | advmod | ADV | []
disposed | acomp | ADJ | [well, toward]
toward | prep | ADP | [city]
the | det | DET | []
city | pobj | NOUN | [the, and, inhabitants]
and | cc | CCONJ | []
its | poss | ADJ | []
inhabitants | conj | NOUN | [its]
. | punct | PUNCT | []",Boreas,Athens,worshipped
Brau- ronian Artemis,Brauron,was worshipped solely at,"this===brau- ronian artemis was not worshipped solely at brauron but in athens as well and especially in sparta , where youths were scourged at her altar until they sprinkled it with their blood .  ===one particular feature of the sanctuary at brauron was the presence of girls aged between five and ten known as arktoi—“bear virgins ” or “ bears for artemis .","Brau- | compound | PROPN | []
ronian | compound | ADJ | [Brau-]
Artemis | nsubjpass | PROPN | [ronian]
was | auxpass | VERB | []
not | neg | ADV | []
worshipped | ROOT | VERB | [Artemis, was, not, solely, at, .]
solely | advmod | ADV | []
at | prep | ADP | [Brauron, but, in]
Brauron | pobj | PROPN | []
but | cc | CCONJ | []
in | prep | ADP | [Athens]
Athens | pobj | PROPN | []
as | advmod | ADV | []
well | advmod | ADV | [as, and]
and | cc | CCONJ | []
especially | advmod | ADV | []
in | conj | ADP | [in, well, especially, Sparta]
Sparta | pobj | PROPN | [,, scourged]
, | punct | PUNCT | []
where | advmod | ADV | []
youths | nsubjpass | NOUN | []
were | auxpass | VERB | []
scourged | relcl | VERB | [where, youths, were, at, sprinkled]
at | prep | ADP | [altar]
her | poss | ADJ | []
altar | pobj | NOUN | [her]
until | mark | ADP | []
they | nsubj | PRON | []
sprinkled | advcl | VERB | [until, they, it, with]
it | dobj | PRON | []
with | prep | ADP | [blood]
their | poss | ADJ | []
blood | pobj | NOUN | [their]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,Brauron,worshipped
nymph (he),part, appears ,"this watery association is further supported by the fact that he was said to have awarded the isthmus to poseidon during his dispute with helios , giving the latter the acrocorinthos .  ===having once appeared to help zeus , he later appears to have taken part in a rebellion against all of olympus .===foretold by an oracle that the roasted viscera of a monstrous bull that lived in the river styx would enable who- ever ate them to overthrow zeus and rule in his stead , briareus caught the beast and was about to roast the viscera as he had been instructed when a kite flew down , snatched the entrails , and took them to zeus .  ","Having | aux | VERB | []
once | advmod | ADV | []
appeared | advcl | VERB | [Having, once, help]
to | aux | PART | []
help | xcomp | VERB | [to, Zeus]
Zeus | dobj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
later | advmod | ADV | []
appears | ROOT | VERB | [appeared, ,, he, later, taken, .]
to | aux | PART | []
have | aux | VERB | []
taken | xcomp | VERB | [to, have, part, in]
part | dobj | NOUN | []
in | prep | ADP | [rebellion]
a | det | DET | []
rebellion | pobj | NOUN | [a, against]
against | prep | ADP | [all]
all | pobj | DET | [of]
of | prep | ADP | [Olympus]
Olympus | pobj | PROPN | []
. | punct | PUNCT | []",he,part,appears
Chryses,roughly repulsed, was roughly,"agamemnon had been assigned chryseis , the daughter of the trojan priest chryses , as his concubine .===however , when chryses came to ransom her he was roughly repulsed .===in revenge , apollo sent a plague to afflict the greek hordes until finally , on calchas ’s advice , agamemnon returned chryseis to her father .  ","However | advmod | ADV | []
, | punct | PUNCT | []
when | advmod | ADV | []
Chryses | nsubj | PROPN | []
came | advcl | VERB | [when, Chryses, ransom]
to | aux | PART | []
ransom | xcomp | VERB | [to, her]
her | dobj | PRON | []
he | nsubj | PRON | []
was | ROOT | VERB | [However, ,, came, he, repulsed, .]
roughly | advmod | ADV | []
repulsed | acomp | VERB | [roughly]
. | punct | PUNCT | []",Chryses,repulsed,was
"The epithet Dictynna , which is sometimes used as a variant name",Cretan in origin, is certainly,"she was relentlessly pursued by minos for nine months before leaping into the sea , there to be rescued by the goddess artemis , who deified her and gave her the epithet dictynna , which she her- self shares .===the epithet dictynna , which is sometimes used as a variant name , is certainly cretan in origin , possibly being connected with mount dicte on crete , though it is also said that she derived the name from having fallen into a fisherman ’s net ( diktys ) after falling off a cliff in her flight from minos , or because she was once caught in a hunting net , or that she actually invented these nets .  ===see also :","The | det | DET | []
epithet | nsubj | NOUN | [The, Dictynna, ,, used]
Dictynna | appos | PROPN | []
, | punct | PUNCT | []
which | nsubjpass | ADJ | []
is | auxpass | VERB | []
sometimes | advmod | ADV | []
used | relcl | VERB | [which, is, sometimes, as]
as | prep | ADP | [name]
a | det | DET | []
variant | compound | ADJ | []
name | pobj | NOUN | [a, variant]
, | punct | PUNCT | []
is | ROOT | VERB | [epithet, ,, certainly, Cretan, ,, connected, ,, said, .]
certainly | advmod | ADV | []
Cretan | acomp | PROPN | [in]
in | prep | ADP | [origin]
origin | pobj | NOUN | []
, | punct | PUNCT | []
possibly | advmod | ADV | []
being | auxpass | VERB | []
connected | advcl | VERB | [possibly, being, with]
with | prep | ADP | [Dicte]
Mount | compound | PROPN | []
Dicte | pobj | PROPN | [Mount, on]
on | prep | ADP | [Crete]
Crete | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
it | nsubjpass | PRON | []
is | auxpass | VERB | []
also | advmod | ADV | []
said | advcl | VERB | [though, it, is, also, derived, ,, or, caught]
that | mark | ADP | []
she | nsubj | PRON | []
derived | ccomp | VERB | [that, she, name, from, ), after]
the | det | DET | []
name | dobj | NOUN | [the]
from | prep | ADP | [fallen]
having | aux | VERB | []
fallen | pcomp | VERB | [having, into]
into | prep | ADP | [diktys]
a | det | DET | []
fisherman | poss | NOUN | [a, ’s]
’s | case | PART | []
net | amod | NOUN | []
( | punct | PUNCT | []
diktys | pobj | NOUN | [fisherman, net, (]
) | punct | PUNCT | []
after | prep | ADP | [falling]
falling | pcomp | VERB | [off, in]
off | prep | ADP | [cliff]
a | det | DET | []
cliff | pobj | NOUN | [a]
in | prep | ADP | [flight]
her | poss | ADJ | []
flight | pobj | NOUN | [her, from]
from | prep | ADP | [Minos]
Minos | pobj | PROPN | []
, | punct | PUNCT | []
or | cc | CCONJ | []
because | mark | ADP | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
once | advmod | ADV | []
caught | conj | VERB | [because, she, was, once, in, ,, or, invented]
in | prep | ADP | [net]
a | det | DET | []
hunting | amod | NOUN | []
net | pobj | NOUN | [a, hunting]
, | punct | PUNCT | []
or | cc | CCONJ | []
that | mark | ADP | []
she | nsubj | PRON | []
actually | advmod | ADV | []
invented | conj | VERB | [that, she, actually, nets]
these | det | DET | []
nets | dobj | NOUN | [these]
. | punct | PUNCT | [ ]
  |  | SPACE | []",epithet,Cretan,is
nymph (he),the   71    72 Caduceus   son of Agenor ( son of Poseidon and king of Phoenicia ) and Telephassa, was ,"the legendary founder of thebes in boeotia .===according to common tradition , he was the   71    72 caduceus   son of agenor ( son of poseidon and king of phoenicia ) and telephassa .===when his sister , europa , was carried off by zeus , who appeared to her in the form of a bull , agenor sent his sons , cadmos among them , to search for her .  ","According | prep | VERB | [to]
to | prep | ADP | [tradition]
common | amod | ADJ | []
tradition | pobj | NOUN | [common]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [According, ,, he, son, .]
the | det | DET | [ ]
  |  | SPACE | []
71 | compound | NUM | [  ]
   |  | SPACE | []
72 | nummod | NUM | [71]
Caduceus | compound | PROPN | [ ]
  |  | SPACE | []
son | attr | NOUN | [the, 72, Caduceus, of]
of | prep | ADP | [Agenor]
Agenor | pobj | PROPN | [(, son, ), and, Telephassa]
( | punct | PUNCT | []
son | appos | NOUN | [of, and, king]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
and | cc | CCONJ | []
king | conj | NOUN | [of]
of | prep | ADP | [Phoenicia]
Phoenicia | pobj | PROPN | []
) | punct | PUNCT | []
and | cc | CCONJ | []
Telephassa | conj | PROPN | []
. | punct | PUNCT | []",he,son,was
nymph (she),a magic robe woven by the Graces that conferred divine dignity, received ,"from aphrodite came the famous necklace that had been made by hephaistos , which zeus had originally given to europa and which bestowed irresistible loveliness on its wearer .===from athene she received a magic robe woven by the graces that conferred divine dignity .  ===to build    cadmos was said to have introduced the alphabet and writing   from phoenicia .","From | prep | ADP | [Athene]
Athene | pobj | PROPN | []
she | nsubj | PRON | []
received | ROOT | VERB | [From, she, robe, .]
a | det | DET | []
magic | amod | ADJ | []
robe | dobj | NOUN | [a, magic, woven]
woven | acl | VERB | [by]
by | agent | ADP | [Graces]
the | det | DET | []
Graces | pobj | PROPN | [the, conferred]
that | nsubj | ADJ | []
conferred | relcl | VERB | [that, dignity]
divine | amod | ADJ | []
dignity | dobj | NOUN | [divine]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,robe,received
The Dioscuri,Sparta,were worshipped in,"zeus , in mercy , at first let them live on alternate days until he later placed them in the heavens as the constellation gemini , the heavenly twins .  ===the dioscuri were particularly worshipped in sparta and later among the romans , having a temple dedicated to them in rome .===castor is one of the few greek gods or heroes whose name was retained after greek religion was absorbed into the roman culture .  ","The | det | DET | []
Dioscuri | nsubjpass | PROPN | [The]
were | auxpass | VERB | []
particularly | advmod | ADV | []
worshipped | ROOT | VERB | [Dioscuri, were, particularly, in, and, among, ,, having, .]
in | prep | ADP | [Sparta]
Sparta | pobj | PROPN | []
and | cc | CCONJ | []
later | advmod | ADV | []
among | conj | ADP | [later, Romans]
the | det | DET | []
Romans | pobj | PROPN | [the]
, | punct | PUNCT | []
having | advcl | VERB | [temple]
a | det | DET | []
temple | dobj | NOUN | [a, dedicated]
dedicated | acl | VERB | [to, in]
to | prep | ADP | [them]
them | pobj | PRON | []
in | prep | ADP | [Rome]
Rome | pobj | PROPN | []
. | punct | PUNCT | []",Dioscuri,Sparta,worshipped
Demeter,"Celeus and his son , Triptolemus , the art of agriculture", taught ,"greek    celeus greek   king of eleusis who received the goddess demeter hospitably during her grief - stricken wanderings on earth in search of her daughter , persephone .===in return demeter taught celeus and his son , triptolemus , the art of agriculture , but his other son , abas , she turned into a lizard for ridiculing her .===the goddess further at- tempted   to make celeus ’s other son , demophoön , immortal , but she fumbled the operation and he died .","In | prep | ADP | [return]
return | pobj | NOUN | []
Demeter | nsubj | PROPN | []
taught | ROOT | VERB | [In, Demeter, Celeus, ,, but, turned]
Celeus | dobj | PROPN | [and, son]
and | cc | CCONJ | []
his | poss | ADJ | []
son | conj | NOUN | [his, ,, Triptolemus, art]
, | punct | PUNCT | []
Triptolemus | appos | PROPN | [,]
, | punct | PUNCT | []
the | det | DET | []
art | appos | NOUN | [the, of]
of | prep | ADP | [agriculture]
agriculture | pobj | NOUN | []
, | punct | PUNCT | []
but | cc | CCONJ | []
his | poss | ADJ | []
other | amod | ADJ | []
son | dep | NOUN | [his, other, ,, Abas]
, | punct | PUNCT | []
Abas | appos | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
turned | conj | VERB | [son, ,, she, into, for, .]
into | prep | ADP | [lizard]
a | det | DET | []
lizard | pobj | NOUN | [a]
for | prep | ADP | [ridiculing]
ridiculing | pcomp | VERB | [her]
her | dobj | PRON | []
. | punct | PUNCT | []",Demeter,Celeus,taught
The word centaur,fact, is ,"”===the word centaur is , in fact , a general designation for many sorts of composite crea- tures , the horse - men normally referred to as centaurs strictly being hippocentaurs .  ===one explanation of their origin has offered that they were the result of a misunderstanding by the greeks of their first encounter with mounted warriors from the east .","The | det | DET | []
word | nsubj | NOUN | [The, centaur]
centaur | appos | NOUN | []
is | ROOT | VERB | [word, ,, referred, .]
, | punct | PUNCT | []
in | prep | ADP | [fact, ,, designation]
fact | pobj | NOUN | []
, | punct | PUNCT | []
a | det | DET | []
general | amod | ADJ | []
designation | pobj | NOUN | [a, general, for]
for | prep | ADP | [sorts]
many | amod | ADJ | []
sorts | pobj | NOUN | [many, of]
of | prep | ADP | [tures]
composite | amod | ADJ | []
crea- | amod | NOUN | [composite]
tures | pobj | NOUN | [crea-]
, | punct | PUNCT | []
the | det | DET | []
horse | compound | NOUN | []
- | punct | PUNCT | []
men | nsubj | NOUN | [the, horse, -]
normally | advmod | ADV | []
referred | ccomp | VERB | [in, ,, men, normally, to, as]
to | prep | ADP | []
as | prep | ADP | [being]
centaurs | nsubj | NOUN | []
strictly | advmod | ADV | []
being | pcomp | VERB | [centaurs, strictly, Hippocentaurs]
Hippocentaurs | attr | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",word,fact,is
Heracles,them, carried ,"they were finally defeated by heracles while he was a slave of queen omphale .===tying their feet to a pole , heracles carried them off slung over his shoulders .===from their position the cercopes were given a good view of the hero ’s hairy bottom , and they made such ludicrous jokes about it that heracles in his amusement relented and set them free .","Tying | advcl | VERB | [feet, to]
their | poss | ADJ | []
feet | dobj | NOUN | [their]
to | prep | ADP | [pole]
a | det | DET | []
pole | pobj | NOUN | [a]
, | punct | PUNCT | []
Heracles | nsubj | PROPN | []
carried | ROOT | VERB | [Tying, ,, Heracles, them, off, slung, .]
them | dobj | PRON | []
off | prt | PART | []
slung | advcl | VERB | [over]
over | prep | ADP | [shoulders]
his | poss | ADJ | []
shoulders | pobj | NOUN | [his]
. | punct | PUNCT | []",Heracles,them,carried
centaur (she),the goddess of earth and corn,was worshipped as,"the patron goddess of sicily , goddess of grow- ing vegetation and agriculture whom the romans later came to identify with demeter , giving her many of the same attributes .===in this later cult she was worshipped as the goddess of earth and corn .  ===astronomical","In | prep | ADP | [cult]
this | det | DET | []
later | amod | ADJ | []
cult | pobj | NOUN | [this, later]
she | nsubjpass | PRON | []
was | auxpass | VERB | []
worshipped | ROOT | VERB | [In, she, was, as, .]
as | prep | ADP | [goddess]
the | det | DET | []
goddess | pobj | NOUN | [the, of]
of | prep | ADP | [earth]
earth | pobj | NOUN | [and, corn]
and | cc | CCONJ | []
corn | conj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,goddess,worshipped
The European of the Pillars of Heracles,Calpe, was ,"the african of the pillars of heracles ( hercules ) , ancient name abyla , situated at the very northern tip of morocco and sometimes identified with mount acho .===the european of the pillars of heracles was calpe , and beyond these — the markers of the western boundary of the known world — was supposed to lie the fabled lost city of atlantis .  ===see also : calpe   ceyx greek   husband of alcyone .","The | det | DET | []
European | nsubj | PROPN | [The, of]
of | prep | ADP | [Pillars]
the | det | DET | []
Pillars | pobj | PROPN | [the, of]
of | prep | ADP | [Heracles]
Heracles | pobj | PROPN | []
was | ROOT | VERB | [European, Calpe, ,, and, supposed]
Calpe | attr | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
beyond | prep | ADP | [—]
these | det | DET | []
— | pobj | SYM | [these]
the | det | DET | []
markers | nsubjpass | NOUN | [beyond, the, of, —]
of | prep | ADP | [boundary]
the | det | DET | []
western | amod | ADJ | []
boundary | pobj | NOUN | [the, western, of]
of | prep | ADP | [world]
the | det | DET | []
known | amod | ADJ | []
world | pobj | NOUN | [the, known]
— | punct | PUNCT | []
was | auxpass | VERB | []
supposed | conj | VERB | [markers, was, lie, .]
to | aux | PART | []
lie | xcomp | VERB | [to, city]
the | det | DET | []
fabled | amod | ADJ | []
lost | amod | VERB | []
city | dobj | NOUN | [the, fabled, lost, of]
of | prep | ADP | [Atlantis]
Atlantis | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",European,Calpe,was
centaur (she),the sole personification of Grace,had been ,"the wife of hephaistos according to iliad , a role normally taken by aphrodite .===originally she had been the sole personification of grace until later replaced by the three graces or charites .  ===charites   greek  ","Originally | advmod | ADV | []
she | nsubj | PRON | []
had | aux | VERB | []
been | ROOT | VERB | [Originally, she, had, personification, replaced, .]
the | det | DET | []
sole | amod | ADJ | []
personification | attr | NOUN | [the, sole, of]
of | prep | ADP | [Grace]
Grace | pobj | PROPN | []
until | mark | ADP | []
later | advmod | ADV | []
replaced | advcl | VERB | [until, later, by]
by | agent | ADP | [Graces]
the | det | DET | []
three | nummod | NUM | []
Graces | pobj | PROPN | [the, three, or, Charites]
or | cc | CCONJ | []
Charites | conj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,personification,been
centaur (he),"skilled in medicine , music , prophecy , hunting , and gymnastics", was ,"not of the same breed as the other centaurs , the offspring of ixion and a cloud , cheiron was the son of cronos and philyra ; hence called philyrides , he lived on the slopes of mount pelion .===taught by the twins apollo and artemis , he was skilled in medicine , music , prophecy , hunting , and gymnastics and taught many heroes , such as jason , achilles , peleus , asclepios , actaeon , castor and polydeuces , and heracles .===he helped peleus to escape from the wild centaurs and taught him how to win the hand of the nereid thetis .","Taught | advcl | VERB | [by]
by | prep | ADP | [twins]
the | det | DET | []
twins | pobj | NOUN | [the, Apollo]
Apollo | appos | PROPN | [and, Artemis]
and | cc | CCONJ | []
Artemis | conj | PROPN | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Taught, ,, he, skilled, and, taught, .]
skilled | acomp | ADJ | [in]
in | prep | ADP | [medicine]
medicine | pobj | NOUN | [,, music]
, | punct | PUNCT | []
music | conj | NOUN | [,, prophecy]
, | punct | PUNCT | []
prophecy | conj | NOUN | [,, hunting]
, | punct | PUNCT | []
hunting | conj | NOUN | [,, and, gymnastics]
, | punct | PUNCT | []
and | cc | CCONJ | []
gymnastics | conj | NOUN | []
and | cc | CCONJ | []
taught | conj | VERB | [heroes]
many | amod | ADJ | []
heroes | dobj | NOUN | [many, ,, as]
, | punct | PUNCT | []
such | amod | ADJ | []
as | prep | ADP | [such, Jason]
Jason | pobj | PROPN | [,, Achilles]
, | punct | PUNCT | []
Achilles | conj | PROPN | [,, Peleus]
, | punct | PUNCT | []
Peleus | conj | PROPN | [,, Asclepios]
, | punct | PUNCT | []
Asclepios | conj | PROPN | [,, Actaeon]
, | punct | PUNCT | []
Actaeon | conj | PROPN | [,, Castor]
, | punct | PUNCT | []
Castor | conj | PROPN | [and, Polydeuces, ,, and, Heracles]
and | cc | CCONJ | []
Polydeuces | conj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
Heracles | conj | PROPN | []
. | punct | PUNCT | []",he,skilled,was
centaur (he),the spirits of the dead, summoned ,"it was in their land that odysseus , on the advice of circe , sought the advice of the dead seer teiresias .===preparing a libation of blood he summoned the spirits of the dead .===first to appear was elpenor , one of his crew who died when he fell from the roof of circe ’s palace in a drunken stupor .","Preparing | advcl | VERB | [libation]
a | det | DET | []
libation | dobj | NOUN | [a, of]
of | prep | ADP | [blood]
blood | pobj | NOUN | []
he | nsubj | PRON | []
summoned | ROOT | VERB | [Preparing, he, spirits, .]
the | det | DET | []
spirits | dobj | NOUN | [the, of]
of | prep | ADP | [dead]
the | det | DET | []
dead | pobj | ADJ | [the]
. | punct | PUNCT | []",he,spirits,summoned
Circe,"the medieval legends of King Arthur , in which she is said to have brought the Romans to England", appeared in,"he then took telemachus and penelope back to aeaea with him and there married penelope while telemachus married circe .  ===appearing in both odyssey of homer and the argonautica of apollonius rhodius , circe also appeared in the medieval legends of king arthur , in which she is said to have brought the romans to england .  ===see also : aeëtes ; comus ; odysseus   ciris greek  ","Appearing | advcl | VERB | [in]
in | prep | ADP | [Odyssey]
both | det | DET | []
Odyssey | pobj | PROPN | [both, of, and, Argonautica]
of | prep | ADP | [Homer]
Homer | pobj | PROPN | []
and | cc | CCONJ | []
the | det | DET | []
Argonautica | conj | PROPN | [the, of]
of | prep | ADP | [Rhodius]
Apollonius | compound | PROPN | []
Rhodius | pobj | PROPN | [Apollonius]
, | punct | PUNCT | []
Circe | nsubj | PROPN | []
also | advmod | ADV | []
appeared | ROOT | VERB | [Appearing, ,, Circe, also, in, .]
in | prep | ADP | [legends]
the | det | DET | []
medieval | amod | ADJ | []
legends | pobj | NOUN | [the, medieval, of, ,, said]
of | prep | ADP | [Arthur]
King | compound | PROPN | []
Arthur | pobj | PROPN | [King]
, | punct | PUNCT | []
in | prep | ADP | [which]
which | pobj | ADJ | []
she | nsubjpass | PRON | []
is | auxpass | VERB | []
said | relcl | VERB | [in, she, is, brought]
to | aux | PART | []
have | aux | VERB | []
brought | xcomp | VERB | [to, have, Romans, to]
the | det | DET | []
Romans | dobj | PROPN | [the]
to | prep | ADP | [England]
England | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Circe,legends,appeared
Cithaeron,"the location of many episodes connected with Thebes , including the exposure of the infant Oedipus", was also,"as a reward , thespius gave heracles his 50 daughters .===cithaeron was also the location of many episodes connected with thebes , including the exposure of the infant oedipus .===it was also where both pentheus and actaeon were killed .  ","Cithaeron | nsubj | PROPN | []
was | ROOT | VERB | [Cithaeron, also, location, .]
also | advmod | ADV | []
the | det | DET | []
location | attr | NOUN | [the, of]
of | prep | ADP | [episodes]
many | amod | ADJ | []
episodes | pobj | NOUN | [many, connected]
connected | acl | VERB | [with]
with | prep | ADP | [Thebes]
Thebes | pobj | PROPN | [,, including]
, | punct | PUNCT | []
including | prep | VERB | [exposure]
the | det | DET | []
exposure | pobj | NOUN | [the, of]
of | prep | ADP | [infant]
the | det | DET | []
infant | pobj | NOUN | [the, Oedipus]
Oedipus | appos | PROPN | []
. | punct | PUNCT | []",Cithaeron,location,was
centaur (she),repre-, was ,"one of the nine muses , being that of epic poet- ry , which she was said to have invented , prophecy , and history .===in art she was repre- sented with a roll of paper , a chest of books , or with musical instruments .===she was the mother of orpheus and hyacinthos .  ","In | prep | ADP | [art]
art | pobj | NOUN | []
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, repre-, sented, .]
repre- | attr | VERB | []
sented | advcl | VERB | [with]
with | prep | ADP | [roll]
a | det | DET | []
roll | pobj | NOUN | [a, of, ,, chest]
of | prep | ADP | [paper]
paper | pobj | NOUN | []
, | punct | PUNCT | []
a | det | DET | []
chest | appos | NOUN | [a, of, ,, or, with]
of | prep | ADP | [books]
books | pobj | NOUN | []
, | punct | PUNCT | []
or | cc | CCONJ | []
with | conj | ADP | [instruments]
musical | amod | ADJ | []
instruments | pobj | NOUN | [musical]
. | punct | PUNCT | []",she,repre-,was
nymph (he),his cognomen, received ,"see also :===akrocorinth   coriolanus , cnaeus marcius   roman   originally simply known as cnaeus marcius , he received his cognomen after capturing the town of corioli ( monte giove ) from the volscii in 493 b.c.===later this legendary roman hero was charged with tyrannously opposing the plebians and refusing to give them grain , even though they were starving .","Akrocorinth | compound | PROPN | [ ]
  |  | SPACE | []
Coriolanus | nsubj | PROPN | [Akrocorinth, ,, Roman]
, | punct | PUNCT | []
Cnaeus | compound | PROPN | []
Marcius | compound | PROPN | [Cnaeus,  ]
  |  | SPACE | []
Roman | appos | PROPN | [Marcius,  , known]
  |  | SPACE | []
Originally | advmod | ADV | []
simply | advmod | ADV | []
known | acl | VERB | [Originally, simply, as]
as | prep | ADP | [Marcius]
Cnaeus | compound | PROPN | []
Marcius | pobj | PROPN | [Cnaeus]
, | punct | PUNCT | []
he | nsubj | PRON | []
received | ROOT | VERB | [Coriolanus, ,, he, cognomen, after]
his | poss | ADJ | []
cognomen | dobj | NOUN | [his]
after | prep | ADP | [capturing]
capturing | pcomp | VERB | [town, from, in]
the | det | DET | []
town | dobj | NOUN | [the, of]
of | prep | ADP | [Corioli]
Corioli | pobj | PROPN | [(, Giove, )]
( | punct | PUNCT | []
Monte | compound | PROPN | []
Giove | appos | PROPN | [Monte]
) | punct | PUNCT | []
from | prep | ADP | [Volscii]
the | det | DET | []
Volscii | pobj | PROPN | [the]
in | prep | ADP | [B.C.]
493 | nummod | NUM | []
B.C. | pobj | PROPN | [493]",he,cognomen,received
nymph (her),unfaithful to the god, was ,"a nymph ; the daughter of phlegyas .===loved and won by apollo , who made her pregnant , she was unfaithful to the god and made love to the mortal ischys .===this news was brought to apollo by a crow the god left behind to watch over her during pregnancy .","Loved | advcl | VERB | [and, won]
and | cc | CCONJ | []
won | conj | VERB | [by]
by | agent | ADP | [Apollo]
Apollo | pobj | PROPN | [,, made]
, | punct | PUNCT | []
who | nsubj | NOUN | []
made | relcl | VERB | [who, pregnant]
her | nsubj | PRON | []
pregnant | ccomp | ADJ | [her]
, | punct | PUNCT | []
she | nsubj | PRON | []
was | ROOT | VERB | [Loved, ,, she, unfaithful, and, made, .]
unfaithful | acomp | ADJ | [to]
